"","gene","B.males.tpm","B.females.tpm","nonB.males.tpm","nonB.females.tpm","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale"
"553","g1050",7.11857142857143,6.87333333333333,6.67428571428571,6.93166666666667,"scaffold_197",1180,"TGT_DROME","E2BAA4","Queuine tRNA-ribosyltransferase","Y",695333,"A",-0.302707020010726,0,0,0,0,0
"554","g10500",0.09,0.0416666666666667,0,0,"scaffold_825",1062,NA,NA,"Haspin like kinase domain","Y",40635,"A",-3.29662814332226,0,0,0,0,0
"555","g10501",0,0,0,0,"scaffold_825",1035,NA,NA,"7tm Odorant receptor","Y",40635,"A",-3.29662814332226,NA,NA,NA,NA,NA
"556","g10502",0.0128571428571429,0.0133333333333333,0.07,0.0616666666666667,"scaffold_1343",523,NA,NA,"Reverse transcriptase (RNA-dependent DNA polymerase)","Y",15699,"A",0.09150889,NA,NA,NA,NA,NA
"557","g10503",0.00571428571428571,0,0.0114285714285714,0.0183333333333333,"scaffold_1343",3898,NA,NA,NA,"N",15699,"A",0.09150889,0,0,0,0,0
"558","g10504",0.0557142857142857,0.02,0,0.0333333333333333,"scaffold_1343",395,NA,NA,NA,"N",15699,"A",0.09150889,NA,NA,NA,NA,NA
"559","g10505",0.02,0.01,0.0257142857142857,0.0183333333333333,"scaffold_1343",1118,NA,NA,NA,"N",15699,"A",0.09150889,NA,NA,NA,NA,NA
"560","g10506",1.48142857142857,1.60833333333333,0.615714285714286,0.733333333333333,"scaffold_1343",1127,"MIB2_CHICK",NA,"Zinc finger, C3HC4 type (RING finger),Ankyrin repeats (3 copies),Ankyrin repeats (many copies)","Y",15699,"A",0.09150889,0,0,0,0,0
"561","g10507",1.46714285714286,0.438333333333333,0.995714285714286,0.951666666666667,"scaffold_780",286,NA,NA,NA,"N",51383,"A",0.270703072488346,0,0,0,0,0
"562","g10508",2.23142857142857,2.06166666666667,4.83,5.01833333333333,"scaffold_934",885,"ADCY2_DROME","A0A482WSW5",NA,"Y",28375,"A",0.583635864499838,0,0,0,0,0
"563","g10509",0,0,0,0,"scaffold_934",652,NA,NA,NA,"N",28375,"A",0.583635864499838,NA,NA,NA,NA,NA
"564","g1051",16.6042857142857,16.7416666666667,16.6385714285714,17.5166666666667,"scaffold_197",4278,"CPSF1_BOVIN","A0A067QMH4","Mono-functional DNA-alkylating methyl methanesulfonate N-term,CPSF A subunit region","Y",695333,"A",-0.302707020010726,0,0,0,0,0
"565","g10510",0,0,0,0,"scaffold_1206",331,NA,NA,NA,"N",18214,"A",-0.8760211,NA,NA,NA,NA,NA
"566","g10511",0.331428571428571,1.47,0.227142857142857,1.46666666666667,"scaffold_103",1750,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,-1,-1,0,-1
"567","g10512",0.242857142857143,1.03,0.108571428571429,0.64,"scaffold_103",3140,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,-1,0,0,-1
"568","g10513",0.741428571428571,3.81833333333333,0.337142857142857,2.25833333333333,"scaffold_103",3067,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,-1,-1,0,-1
"569","g10514",0,0,0,0,"scaffold_103",525,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"570","g10515",0,0,0,0,"scaffold_103",283,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"571","g10516",0,0,0,0,"scaffold_103",382,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"572","g10517",0.0257142857142857,0,0.0471428571428571,0,"scaffold_103",337,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"573","g10518",0,0,0,0,"scaffold_103",806,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"574","g10519",0.0114285714285714,0.0416666666666667,0.0842857142857143,0.206666666666667,"scaffold_103",576,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,0,0,0,0
"575","g1052",36.1557142857143,18.3366666666667,36.8742857142857,17.7533333333333,"scaffold_197",3194,"KI11B_XENLA","A0A2J7QSN9","Kinesin-associated microtubule-binding,Kinesin motor domain","Y",695333,"A",-0.302707020010726,0,0,0,0,0
"576","g10520",0,0,0.0242857142857143,0,"scaffold_103",574,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"577","g10521",0,0,0,0,"scaffold_103",503,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"578","g10522",0.0742857142857143,0,0.0728571428571429,0,"scaffold_103",309,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"579","g10523",3.46428571428571,11.175,0.715714285714286,11.27,"scaffold_103",382,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,0,0,0,-1
"580","g10524",0.634285714285714,6.31,2.07142857142857,9.25333333333333,"scaffold_103",382,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,-1,-1,0,0
"581","g10525",0.692857142857143,0.831666666666667,1.21285714285714,1.31,"scaffold_103",813,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,0,0,0,0
"582","g10526",0,0.0533333333333333,0,0,"scaffold_103",432,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"583","g10527",27.3471428571429,10.84,29.42,12.2283333333333,"scaffold_103",1531,NA,"A0A2P8YHY8",NA,"Y",1099892,"A",-0.288574639693765,0,1,0,0,1
"584","g10528",0.687142857142857,5.17666666666667,0.167142857142857,1.73833333333333,"scaffold_103",3258,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,-1,0,0,-1
"585","g10529",0,0,0.06,0,"scaffold_103",430,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"586","g1053",2.93142857142857,1.44833333333333,1.73142857142857,1.165,"scaffold_197",438,NA,NA,NA,"N",695333,"A",-0.302707020010726,0,0,0,0,0
"587","g10530",0,0,0,0,"scaffold_103",251,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"588","g10531",0,0,0,0,"scaffold_103",455,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"589","g10532",0.335714285714286,0,0,0,"scaffold_103",227,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"590","g10533",131.191428571429,142.121666666667,135.498571428571,151.46,"scaffold_103",549,"RM41_DROPS","A0A482XGY2","Mitochondrial ribosomal protein L27","Y",1099892,"A",-0.288574639693765,0,0,0,0,0
"591","g10534",29.6442857142857,18.7,35.4042857142857,22.0433333333333,"scaffold_103",2995,"SIK2_HUMAN","A0A1S3D4E4","Protein kinase domain","Y",1099892,"A",-0.288574639693765,0,0,0,0,0
"592","g10535",1.17428571428571,0.105,1.54714285714286,0.156666666666667,"scaffold_103",501,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,1,1,0,1
"593","g10536",881.12,494.128333333333,919.495714285714,1012.87666666667,"scaffold_103",241,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,0,0,0,0
"594","g10537",0,0,0,0,"scaffold_103",326,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"595","g10538",0.09,0,0.217142857142857,0.286666666666667,"scaffold_103",198,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"596","g10539",0.191428571428571,0,0,0,"scaffold_103",305,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"597","g1054",2.51571428571429,5.18833333333333,2.29714285714286,4.88,"scaffold_197",1529,NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y",695333,"A",-0.302707020010726,0,0,0,0,0
"598","g10540",7.76571428571429,5.025,8.34142857142857,4.57,"scaffold_103",277,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,0,0,0,0
"599","g10541",0,0,0,0,"scaffold_103",322,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"600","g10542",0.297142857142857,0.655,0.23,0.806666666666667,"scaffold_103",1484,NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y",1099892,"A",-0.288574639693765,0,0,0,0,0
"601","g10543",0,0.0116666666666667,0,0.0116666666666667,"scaffold_103",525,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"602","g10544",12.7457142857143,46.2416666666667,3.51714285714286,43.86,"scaffold_103",601,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,-1,-1,0,-1
"603","g10545",0.661428571428571,2.99833333333333,0.15,1.37833333333333,"scaffold_103",610,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,-1,0,0,-1
"604","g10546",0.478571428571429,3.67166666666667,0.398571428571429,0.331666666666667,"scaffold_103",338,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,-1,0,0,0
"605","g10547",20.0557142857143,14.2516666666667,21.2685714285714,15.5233333333333,"scaffold_103",2327,NA,"E0VAS6","PDZ domain","Y",1099892,"A",-0.288574639693765,0,0,0,0,0
"606","g10548",213.655714285714,250.526666666667,219.342857142857,246.976666666667,"scaffold_103",615,"SSRB_CANLF","A0A2P8XPC6","Translocon-associated protein beta (TRAPB)","Y",1099892,"A",-0.288574639693765,0,0,0,0,0
"607","g10549",48.4057142857143,42.52,44.5671428571429,36.4083333333333,"scaffold_103",389,"SRC42_DROME","J9JNB6","SH3 domain","Y",1099892,"A",-0.288574639693765,0,0,0,0,0
"608","g1055",2.13714285714286,3.91,1.52857142857143,3.35166666666667,"scaffold_197",2039,NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y",695333,"A",-0.302707020010726,0,0,0,0,0
"609","g10550",0,0,0,0,"scaffold_103",565,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"610","g10551",0,0,0,0,"scaffold_103",316,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"611","g10552",0.224285714285714,0.145,0.14,0.025,"scaffold_103",1217,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,0,1,0,0
"612","g10553",0,0,0.0542857142857143,0,"scaffold_103",358,NA,NA,NA,"N",1099892,"A",-0.288574639693765,NA,NA,NA,NA,NA
"613","g10554",38.1828571428571,28.6383333333333,38.4671428571429,26.9883333333333,"scaffold_103",1945,"SRC42_DROME","A0A482X737","SH2 domain,Protein tyrosine kinase","Y",1099892,"A",-0.288574639693765,0,0,0,0,0
"614","g10555",4.89714285714286,0.0733333333333333,4.50857142857143,0.71,"scaffold_103",1012,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,1,1,0,1
"615","g10556",5.00714285714286,0.0933333333333333,5.82142857142857,0.248333333333333,"scaffold_103",915,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,1,1,0,1
"616","g10557",4.39,0.095,4.73857142857143,0.306666666666667,"scaffold_103",1003,NA,NA,NA,"N",1099892,"A",-0.288574639693765,0,1,1,0,1
"617","g10558",2.58142857142857,1.69,2.99571428571429,2.225,"scaffold_637",1034,NA,"X1WNZ0","DDE superfamily endonuclease","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"618","g10559",6.42428571428571,3.17833333333333,5.11857142857143,2.47666666666667,"scaffold_637",1790,NA,"J9KCG1","YqaJ-like viral recombinase domain","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"619","g1056",32.5271428571429,19.37,23.0242857142857,12.88,"scaffold_197",875,NA,NA,NA,"N",695333,"A",-0.302707020010726,0,0,0,0,0
"620","g10560",0.217142857142857,0.238333333333333,0.138571428571429,0.15,"scaffold_637",341,NA,NA,NA,"N",115262,"A",0.0244401791340281,0,0,0,0,0
"621","g10561",0.502857142857143,0.356666666666667,0.534285714285714,0.536666666666667,"scaffold_637",2006,NA,NA,NA,"N",115262,"A",0.0244401791340281,0,0,0,0,0
"622","g10562",0.678571428571429,0.661666666666667,0.611428571428571,0.638333333333333,"scaffold_637",1048,NA,NA,NA,"N",115262,"A",0.0244401791340281,0,0,0,0,0
"623","g10563",19.7342857142857,65.64,14.9171428571429,67.8416666666667,"scaffold_637",1916,"PERO_DROME","J9JZ85","Animal haem peroxidase","Y",115262,"A",0.0244401791340281,0,-1,-1,0,-1
"624","g10564",12.36,77.965,4.39857142857143,85.345,"scaffold_637",1901,"PERO_DROME","J9JZ85","Animal haem peroxidase","Y",115262,"A",0.0244401791340281,0,-1,-1,0,-1
"625","g10565",1.85714285714286,1.05833333333333,2.60428571428571,1.185,"scaffold_637",1970,"IFT81_MOUSE","A0A1S3K063","Intraflagellar transport 81 calponin homology domain","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"626","g10566",44.8557142857143,57.3533333333333,44.9128571428571,58.7633333333333,"scaffold_637",1871,"LKHA4_HUMAN","A0A067R2V8","Peptidase M1 N-terminal domain,Peptidase family M1 domain,Leukotriene A4 hydrolase, C-terminal","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"627","g10567",19.5542857142857,38.0116666666667,19.6442857142857,61.4583333333333,"scaffold_637",1403,"HOT_AEDAE","A0A482XN80","Iron-containing alcohol dehydrogenase","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"628","g10568",21.8971428571429,51.7466666666667,22.7914285714286,56.3166666666667,"scaffold_637",1095,"GLO5_ARATH","A0A1S3DA23","FMN-dependent dehydrogenase","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"629","g10569",0.258571428571429,0.126666666666667,0.118571428571429,0.0966666666666667,"scaffold_637",830,NA,NA,"7tm Odorant receptor","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"630","g1057",37.4585714285714,34.7883333333333,37.2214285714286,38.4733333333333,"scaffold_197",6037,"MROH1_HUMAN","A0A482X577","non-SMC mitotic condensation complex subunit 1","Y",695333,"A",-0.302707020010726,0,0,0,0,0
"631","g10570",0,0.0116666666666667,0,0,"scaffold_637",856,NA,NA,NA,"N",115262,"A",0.0244401791340281,NA,NA,NA,NA,NA
"632","g10571",0.505714285714286,0.298333333333333,0.4,0.325,"scaffold_637",850,NA,"A0A151WJC7","hAT family C-terminal dimerisation region","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"633","g10572",0.287142857142857,0.228333333333333,0.26,0.246666666666667,"scaffold_637",1458,NA,"A0A1X7TGY6","Protein of unknown function (DUF 659),BED zinc finger","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"634","g10573",0.0357142857142857,0.0433333333333333,0.124285714285714,0.0683333333333333,"scaffold_637",884,NA,NA,"7tm Odorant receptor","Y",115262,"A",0.0244401791340281,0,0,0,0,0
"635","g10574",101.915714285714,162.383333333333,101.54,157.525,"scaffold_32",1015,"CGL_DICDI","A0A2J7QCJ1","Cys/Met metabolism PLP-dependent enzyme","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"636","g10575",53.1928571428571,0.411666666666667,55.9942857142857,0.67,"scaffold_32",1117,"CGL2_CAEEL","A0A0N4VN31","Cys/Met metabolism PLP-dependent enzyme","Y",1713197,"A",-0.227731956465224,0,1,1,0,1
"637","g10576",70.1028571428571,104.276666666667,65.0642857142857,106.06,"scaffold_32",1204,"CGL_PIG","A0A2P8ZKX8","Cys/Met metabolism PLP-dependent enzyme","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"638","g10577",0.418571428571429,1.00333333333333,0.372857142857143,0.986666666666667,"scaffold_32",590,NA,NA,"Predicted AAA-ATPase","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"639","g10578",31.6014285714286,19.595,34.3442857142857,19.8583333333333,"scaffold_32",2727,"DGKQ_MOUSE","A0A482XU59","Diacylglycerol kinase catalytic domain,Ras association (RalGDS/AF-6) domain,Diacylglycerol kinase accessory domain,Phorbol esters/diacylglycerol binding domain (C1 domain)","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"640","g10579",166.772857142857,89.99,177.838571428571,91.0133333333333,"scaffold_32",785,"PEX19_HUMAN","K1Q532","Pex19 protein family","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"641","g1058",21.1271428571429,21.81,23.25,25.1183333333333,"scaffold_197",798,NA,NA,NA,"N",695333,"A",-0.302707020010726,0,0,0,0,0
"642","g10580",13.0928571428571,10.6516666666667,12.86,9.94833333333333,"scaffold_32",1512,"NB5R4_DANRE","A0A1S3DD70","Oxidoreductase FAD-binding domain,Oxidoreductase NAD-binding domain,Cytochrome b5-like Heme/Steroid binding domain","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"643","g10581",91.7485714285714,131.86,90.0528571428571,138.135,"scaffold_32",1099,NA,"A0A482XDF4","Ribosomal protein L1p/L10e family","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"644","g10582",22.9828571428571,16.31,25.0842857142857,18.3966666666667,"scaffold_32",1243,"TAF7_DROME","A0A2J7R1S5","TAFII55 protein conserved region","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"645","g10583",51.5628571428571,57.44,46.7928571428571,53.3333333333333,"scaffold_32",1620,"SYYC_DANRE","J9JX11","Putative tRNA binding domain,tRNA synthetases class I (W and Y)","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"646","g10584",6.65857142857143,4.42333333333333,6.57714285714286,4.74166666666667,"scaffold_32",1121,"POPD1_CHICK","A0A2J7QPI7","Popeye protein conserved region","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"647","g10585",19.9371428571429,38.6733333333333,19.0728571428571,34.72,"scaffold_32",752,NA,NA,NA,"N",1713197,"A",-0.227731956465224,0,0,0,0,0
"648","g10586",0,0,0,0,"scaffold_32",271,NA,NA,NA,"N",1713197,"A",-0.227731956465224,NA,NA,NA,NA,NA
"649","g10587",596.925714285714,0.02,718.361428571429,0.0116666666666667,"scaffold_32",1226,NA,NA,NA,"N",1713197,"A",-0.227731956465224,0,1,1,0,1
"650","g10588",0,0,0.0314285714285714,0.0416666666666667,"scaffold_32",448,NA,NA,NA,"N",1713197,"A",-0.227731956465224,NA,NA,NA,NA,NA
"651","g10589",5.79285714285714,3.03666666666667,4.61,2.88833333333333,"scaffold_32",1578,"POPD1_CHICK","A0A067QYU9","Popeye protein conserved region","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"652","g1059",17.6771428571429,18.255,19.2314285714286,23.4133333333333,"scaffold_197",910,"METL_DROME","A0A0L7QM71","Methyltransferase domain","Y",695333,"A",-0.302707020010726,0,0,0,0,0
"653","g10590",25.9385714285714,22.8766666666667,25.1128571428571,22.4966666666667,"scaffold_32",2406,"CONU_DROME","A0A482XD85","RhoGAP domain","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"654","g10591",5.71285714285714,5.37666666666667,4.05428571428571,3.53,"scaffold_32",310,NA,NA,NA,"N",1713197,"A",-0.227731956465224,0,0,0,0,0
"655","g10592",24.7514285714286,26.8366666666667,19.1557142857143,25.8783333333333,"scaffold_32",2581,NA,"J9KLZ0","MFS_1 like family","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"656","g10593",0.104285714285714,0.22,0.182857142857143,0.698333333333333,"scaffold_32",232,NA,NA,NA,"N",1713197,"A",-0.227731956465224,NA,NA,NA,NA,NA
"657","g10594",0.837142857142857,0.72,0.122857142857143,0.401666666666667,"scaffold_32",408,NA,NA,NA,"N",1713197,"A",-0.227731956465224,0,0,0,0,0
"658","g10595",19.5028571428571,15.1266666666667,17.7271428571429,15.845,"scaffold_32",4008,NA,NA,"TSC-22/dip/bun family","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"659","g10596",1.43,0.978333333333333,1.19142857142857,0.925,"scaffold_32",740,NA,NA,NA,"N",1713197,"A",-0.227731956465224,0,0,0,0,0
"660","g10597",24.7357142857143,25.8633333333333,21.3614285714286,23.3816666666667,"scaffold_32",2481,"COG3_DROME","A0A482XKT8","Sec34-like family","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"661","g10598",25.1071428571429,14.6966666666667,28.2742857142857,18.0483333333333,"scaffold_32",2923,"IR21A_DROME","A0A482XKC2","TAP42-like family,Ligand-gated ion channel,Bacterial extracellular solute-binding proteins, family 3","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"662","g10599",51.8442857142857,52.2616666666667,50.2257142857143,50.46,"scaffold_32",1016,"ALG5_DROME","A0A067R8A0","Glycosyl transferase family 2","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"663","g1060",58.56,50.3766666666667,1.68285714285714,0.603333333333333,"scaffold_197",602,NA,NA,NA,"N",695333,"A",-0.302707020010726,1,0,1,1,0
"664","g10600",18.1028571428571,8.78833333333333,17.4185714285714,10.1833333333333,"scaffold_32",209,NA,NA,NA,"N",1713197,"A",-0.227731956465224,0,0,0,0,0
"665","g10601",91.5428571428571,77.3433333333333,91.2485714285714,74.8083333333333,"scaffold_32",2685,"AGO2_XENTR","J9K2Z4","Mid domain of argonaute,Argonaute linker 1 domain,Piwi domain,PAZ domain,Argonaute linker 2 domain,N-terminal domain of argonaute","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"666","g10602",74.3128571428571,79.3483333333333,75.3885714285714,75.6383333333333,"scaffold_32",539,NA,"A0A182MHP3","39S ribosomal protein L53/MRP-L53","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"667","g10603",0,0,0.0514285714285714,0,"scaffold_32",320,NA,NA,NA,"N",1713197,"A",-0.227731956465224,NA,NA,NA,NA,NA
"668","g10604",170.28,157.931666666667,171.811428571429,153.083333333333,"scaffold_32",1213,"ADRM1_DROME","A0A2P8YJ58","UCH-binding domain,Proteasome complex subunit Rpn13 ubiquitin receptor","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"669","g10605",45.5085714285714,41.0783333333333,43.72,43.06,"scaffold_32",2783,"PRP6_MOUSE","J9JRB6","PRP1 splicing factor, N-terminal,Tetratricopeptide repeat","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"670","g10606",10.6571428571429,5.80833333333333,8.54714285714286,5.28166666666667,"scaffold_32",840,NA,"A0A2J7Q8T5","F-box-like","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"671","g10607",117.361428571429,71.78,112.748571428571,64.5516666666667,"scaffold_32",2283,"ASM_BOVIN","A0A482WHA6","Calcineurin-like phosphoesterase","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"672","g10608",2.40142857142857,1.80333333333333,2.73714285714286,1.15333333333333,"scaffold_32",416,NA,NA,NA,"N",1713197,"A",-0.227731956465224,0,0,0,0,0
"673","g10609",179.887142857143,158.298333333333,172.708571428571,147.981666666667,"scaffold_32",969,NA,"A0A2P8XQV7","Tumour protein D52 family","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"674","g1061",137.661428571429,134.976666666667,130.692857142857,132.023333333333,"scaffold_197",1232,"DNJA2_BOVIN","A0A1W4XNE0","DnaJ domain,DnaJ central domain,DnaJ C terminal domain","Y",695333,"A",-0.302707020010726,0,0,0,0,0
"675","g10610",44.4485714285714,54.7716666666667,37.8071428571429,54.1483333333333,"scaffold_32",1037,"ZN782_HUMAN",NA,"C2H2-type zinc finger,Zinc finger, C2H2 type","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"676","g10611",24.6257142857143,15.98,25.98,19.4766666666667,"scaffold_32",1490,NA,NA,"Zinc-finger of the MIZ type in Nse subunit","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"677","g10612",50.3171428571429,71.7466666666667,43.35,63.5083333333333,"scaffold_32",506,"JDP_MANSE","A0A482XAD6","DnaJ domain","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"678","g10613",34.3842857142857,22.1383333333333,34.2328571428571,23.525,"scaffold_32",2731,"PHTF_DROME","A0A2J7QZY2","Male germ-cell putative homeodomain transcription factor","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"679","g10614",6.94714285714286,6.38166666666667,6.84285714285714,6.88,"scaffold_32",1801,"TAF5L_MOUSE","A0A2J7PNX2","WD40 associated region in TFIID subunit, NTD2 domain,WD domain, G-beta repeat","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"680","g10615",35.5685714285714,39.265,37.2571428571429,39.5233333333333,"scaffold_32",1983,"ELOA1_HUMAN","A0A2J7RLS8","TFIIS helical bundle-like domain,RNA polymerase II transcription factor SIII (Elongin) subunit A","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"681","g10616",5.92285714285714,5.81666666666667,5.87571428571429,6.185,"scaffold_32",2776,NA,"A0A3Q0IMR4",NA,"Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"682","g10617",51.5271428571429,59.8466666666667,54.3871428571429,58.9766666666667,"scaffold_32",1637,"P4HA2_CAEEL","A0A3Q0IMV6","Prolyl 4-Hydroxylase alpha-subunit, N-terminal region,2OG-Fe(II) oxygenase superfamily","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"683","g10618",0.0857142857142857,0.105,0.0828571428571429,0.176666666666667,"scaffold_32",374,"H2A_ASTRU","C3YMG8","Core histone H2A/H2B/H3/H4,C-terminus of histone H2A","Y",1713197,"A",-0.227731956465224,NA,NA,NA,NA,NA
"684","g10619",0.467142857142857,1.23833333333333,0.421428571428571,1.36166666666667,"scaffold_32",717,NA,NA,NA,"N",1713197,"A",-0.227731956465224,0,0,0,0,0
"685","g1062",0.0242857142857143,0,0,0,"scaffold_197",340,NA,NA,NA,"N",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"686","g10620",1.24285714285714,4.04833333333333,0.874285714285714,4.375,"scaffold_32",1154,"P4HA2_HUMAN","A0A1W4W224","2OG-Fe(II) oxygenase superfamily","Y",1713197,"A",-0.227731956465224,0,-1,-1,0,-1
"687","g10621",14.5414285714286,2.02,14.6342857142857,1.91333333333333,"scaffold_32",2478,"P4HA2_CAEEL","A0A1I8M3Y0","2OG-Fe(II) oxygenase superfamily","Y",1713197,"A",-0.227731956465224,0,1,1,0,1
"688","g10622",34.1285714285714,6.66833333333333,26.0628571428571,4.94,"scaffold_32",1463,"P4HA1_BOVIN","T1I153","Prolyl 4-Hydroxylase alpha-subunit, N-terminal region","Y",1713197,"A",-0.227731956465224,0,1,1,0,1
"689","g10623",0.131428571428571,0.678333333333333,0.207142857142857,0.895,"scaffold_32",372,NA,NA,"2OG-Fe(II) oxygenase superfamily","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"690","g10624",0.562857142857143,2.94833333333333,0.78,2.67666666666667,"scaffold_32",291,NA,NA,"2OG-Fe(II) oxygenase superfamily","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"691","g10625",5.25571428571429,7.19,5.69571428571429,8.74,"scaffold_32",404,NA,NA,"2OG-Fe(II) oxygenase superfamily","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"692","g10626",2.82,12.6933333333333,2.18714285714286,14.195,"scaffold_32",1357,NA,"D6X3Y9","Prolyl 4-Hydroxylase alpha-subunit, N-terminal region","Y",1713197,"A",-0.227731956465224,0,-1,-1,0,-1
"693","g10627",123.835714285714,42.9183333333333,136.905714285714,45.2183333333333,"scaffold_32",864,"ZN271_PONAB",NA,"Zinc finger, C2H2 type","Y",1713197,"A",-0.227731956465224,0,1,1,0,1
"694","g10628",46.2328571428571,39.115,43.4414285714286,43.64,"scaffold_32",423,"TPPC1_RAT","R4FPI5","Sybindin-like family","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
"695","g10629",109.425714285714,92.6883333333333,114.02,95.6166666666667,"scaffold_32",1271,"DOA_DROME","A0A2J7PDM8","Protein kinase domain","Y",1713197,"A",-0.227731956465224,0,0,0,0,0
