"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","seq.x","b.status.final","gene_len","seq.y","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"167","g3441",7.0170754224958,-0.0938597818008652,5.26124987564147,1.10340679707532e-05,0.00119366150874028,"B+","scaffold_10","A",1397,"scaffold_10","FACR1_DROME","J9K7D4","PF07993;PF03015","Male sterility protein; Male sterility protein","IPR013120;IPR033640","Male sterility, NAD-binding; Fatty acyl-CoA reductase, C-terminal",NA,"Y"
"170","g4227",2.65559759974909,-1.69079306409962,5.18582695367048,1.22536598900298e-05,0.00130220364454869,"B+","scaffold_28","A",1483,"scaffold_28","YELL_DROSU","A0A1S3CYU3","PF03022","Major royal jelly protein","IPR017996","Major royal jelly protein/protein yellow",NA,"Y"
"171","g18670",5.32252612981358,-0.812601629294713,5.19726970381976,1.23844639013499e-05,0.0013084077476128,"B+","scaffold_45","A",4419,"scaffold_45","COPIA_DROME","J9KJ72","PF14223;PF07727;PF13976;PF00665","gag-polypeptide of LTR copia-type; Reverse transcriptase (RNA-dependent DNA polymerase); GAG-pre-integrase domain; Integrase core domain","IPR013103;IPR025724;IPR001584","Reverse transcriptase, RNA-dependent DNA polymerase; GAG-pre-integrase domain; Integrase, catalytic core","GO:0015074","Y"
"172","g6967",2.45128072175758,1.16332720699896,5.15768920666823,1.31602768749151e-05,0.00138228815129195,"B+","scaffold_26","A",3115,"scaffold_26",NA,"D2CG63","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"173","g17785",-3.20507012927056,3.97184000538958,-5.15556161708139,1.32754000807388e-05,0.00138632010322906,"B-","scaffold_965","A",2400,"scaffold_965","LFC_TACTR","J9KTP3","PF00089","Trypsin","IPR001254","Serine proteases, trypsin domain","GO:0004252;GO:0006508","Y"
"174","g1576",2.41906212227359,2.56133281785171,5.13894230334596,1.38050645378694e-05,0.0014333465283974,"B+","scaffold_206","A",1333,"scaffold_206",NA,"J9LAU4",NA,NA,NA,NA,NA,"Y"
"175","g21420",1.53631068426842,3.93843497548348,5.11397922377258,1.47080281267205e-05,0.00151837277792761,"B+","scaffold_110","A",1570,"scaffold_110","CATA_DROME","A0A2J7REJ5","PF00199;PF06628","Catalase; Catalase-related immune-responsive","IPR011614;IPR010582","Catalase core domain; Catalase immune-responsive domain","GO:0004096;GO:0020037;GO:0055114","Y"
"177","g2805",7.08713804476442,-1.6338614223513,5.12883973055545,1.55691315830021e-05,0.00158910695581083,"B+","scaffold_817","A",270,"scaffold_817",NA,NA,"PF01192","RNA polymerase Rpb6","IPR006110","RNA polymerase, subunit omega/K/RPB6","GO:0003677;GO:0003899;GO:0006351","Y"
"179","g14546",1.97536368830677,4.57170739489819,5.07863697518585,1.60995915738277e-05,0.00161844551785172,"B+","scaffold_145","A",3326,"scaffold_145",NA,NA,"PF18694","Transactive response DNA-binding protein N-terminal domain","IPR041105","TAR DNA-binding protein 43, N-terminal",NA,"Y"
"181","g10279",2.42429880235913,5.31982181295914,5.06728829680223,1.65806036550837e-05,0.00165494577697648,"B+","scaffold_150","A",2259,"scaffold_150","M10B1_DANRE","A0A2J7QS54","PF13087;PF13086","AAA domain; AAA domain","IPR041679;IPR041677","DNA2/NAM7 helicase-like, AAA domain; DNA2/NAM7 helicase, AAA domain",NA,"Y"
"183","g9386",6.20329520462785,0.00874430565092124,5.05851535008543,1.81665744996225e-05,0.00179342805961847,"B+","scaffold_153","A",3729,"scaffold_153",NA,"J9K020",NA,NA,NA,NA,NA,"Y"
"184","g349",3.83733181907609,-2.51665129731528,5.01842918588747,1.8998593467996e-05,0.00186537276952617,"B+","scaffold_42","A",3909,"scaffold_42",NA,"A0A0J7N890","PF03564;PF05585;PF05380","Protein of unknown function (DUF1759); Putative peptidase (DUF1758); Pao retrotransposon peptidase","IPR005312;IPR008737;IPR008042","Protein of unknown function DUF1759; Peptidase aspartic, putative; Retrotransposon, Pao",NA,"Y"
"189","g11943",3.96266999001577,-3.86168952679221,4.99874156414926,2.00240149774085e-05,0.00191404155863419,"B+","scaffold_1237","A",694,"scaffold_1237",NA,"K7JKD1",NA,NA,NA,NA,NA,"Y"
"191","g20161",3.02008761595696,1.13820455856282,4.95907365609077,2.19280798677227e-05,0.00207409785806428,"B+","scaffold_333","A",658,"scaffold_333",NA,NA,"PF00254","FKBP-type peptidyl-prolyl cis-trans isomerase","IPR001179","FKBP-type peptidyl-prolyl cis-trans isomerase domain","GO:0003755","Y"
"194","g4034",-1.76245388522279,1.709086255385,-4.86085941782429,2.81226922827485e-05,0.00261888947824812,"B-","scaffold_573","A",2712,"scaffold_573",NA,NA,"PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"196","g4054",0.993867278346413,5.1894296667299,4.83752390794093,2.98570969008251e-05,0.00275203220719544,"B+","scaffold_438","A",1726,"scaffold_438",NA,NA,"PF07707;PF00651","BTB And C-terminal Kelch; BTB/POZ domain","IPR011705;IPR000210","BTB/Kelch-associated; BTB/POZ domain","GO:0005515","Y"
"197","g6969",-1.95456651815448,0.261794004256109,-4.81366018933779,3.17443510293725e-05,0.00291113424211494,"B-","scaffold_26","A",1028,"scaffold_26","SPOP_XENTR","A0A1D2MAL1","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"201","g18023",-3.68868841297053,-2.59263120949918,-4.78760082738191,3.43201435627872e-05,0.00308471499306126,"B-","scaffold_1231","A",335,"scaffold_1231",NA,"U4UG15",NA,NA,NA,NA,NA,"Y"
"202","g6163",-1.57090686846775,0.464837190132555,-4.75349743622753,3.70426574347091e-05,0.0033129339070072,"B-","scaffold_5","A",2658,"scaffold_5",NA,"D6WEX8","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"207","g17215",-3.30730344204858,-1.69916417339545,-4.69282809502088,4.35761887878845e-05,0.00378603638689341,"B-","scaffold_57","A",1556,"scaffold_57",NA,"A0A2P8ZLW3","PF13843","Transposase IS4","IPR029526","PiggyBac transposable element-derived protein",NA,"Y"
"209","g20017",1.98663190766083,4.50961813379435,4.67320429762035,4.55280782491793e-05,0.00392275603808482,"B+","scaffold_894","A",855,"scaffold_894","TCPA_MACFA","E2AJN5","PF00118","TCP-1/cpn60 chaperonin family","IPR002423","Chaperonin Cpn60/TCP-1 family","GO:0005524","Y"
"210","g23062",-1.74196643098824,-0.36232420977687,-4.67257435605809,4.55982933686379e-05,0.00392275603808482,"B-","scaffold_82","A",4360,"scaffold_82","FGFR1_DROME","J9K4Q6","PF17960;PF01833;PF01403;PF07714","TIG domain; IPT/TIG domain; Sema domain; Protein tyrosine kinase","IPR041019;IPR002909;IPR001627;IPR001245","Plexin, TIG domain 1; IPT domain; Sema domain; Serine-threonine/tyrosine-protein kinase, catalytic domain","GO:0005515;GO:0004672;GO:0006468","Y"
"211","g15822",1.41921525881152,4.59509292792125,4.66493159097205,4.65013753950808e-05,0.00398148743074659,"B+","scaffold_182","A",5613,"scaffold_182","BGBP_TENMO","A0A482X6Z0","PF00722;PF01822;PF00057;PF00089","Glycosyl hydrolases family 16; WSC domain; Low-density lipoprotein receptor domain class A; Trypsin","IPR000757;IPR002889;IPR002172;IPR001254","Glycoside hydrolase family 16; Carbohydrate-binding WSC; Low-density lipoprotein (LDL) receptor class A repeat; Serine proteases, trypsin domain","GO:0004553;GO:0005975;GO:0005515;GO:0004252;GO:0006508","Y"
"213","g17647",3.40939233927311,-4.28784291834607,4.63511643129347,5.06220369719527e-05,0.00429360431894506,"B+","scaffold_1472","B2",1013,"scaffold_1472",NA,"D7EID9","PF08398","Parvovirus coat protein VP1","IPR013607","Parvovirus coat protein VP1, N-terminal","GO:0005198","Y"
"214","g2326",2.96479100859564,-0.160745652755971,4.62999621488932,5.10486452244149e-05,0.00430651462058353,"B+","scaffold_446","A",864,"scaffold_446",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"217","g21133",-3.31245737667784,-0.0290641969788807,-4.60809557961929,5.42012986117545e-05,0.00451244544110579,"B-","scaffold_341","A",1518,"scaffold_341","MAL1_DROVI","A0A2P8Y0B5","PF00128","Alpha amylase, catalytic domain","IPR006047","Glycosyl hydrolase, family 13, catalytic domain","GO:0003824;GO:0005975","Y"
"222","g3456",-1.53033233704151,3.74207711257738,-4.53710967750519,6.4571678003085e-05,0.00525473844506186,"B-","scaffold_10","A",1098,"scaffold_10","RDX_DROME","R4G7P9","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"223","g8581",-3.03120692536596,-3.81333731643427,-4.5365564192721,6.49567978583427e-05,0.00526237448479291,"B-","scaffold_447","A",1240,"scaffold_447",NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Y"
"224","g12434",-2.78610471431187,0.232324088612893,-4.52452061453139,6.68662855834463e-05,0.00539288533638634,"B-","scaffold_50","A",1496,"scaffold_50",NA,"K7JGN9",NA,NA,NA,NA,NA,"Y"
"226","g7624",-1.74527911365791,1.96156695236364,-4.50108981164346,7.0831113716217e-05,0.00563788232687895,"B-","scaffold_663","A",1186,"scaffold_663","SPOPL_HUMAN","A0A444TSN5","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"227","g6056",3.89885531792713,-2.1037482145302,4.508097769046,7.08402130079443e-05,0.00563788232687895,"B+","scaffold_5","A",1543,"scaffold_5","POL5_DROME","J9LCT9,J9L709","PF00078;PF00665;PF17921;PF17919","Reverse transcriptase (RNA-dependent DNA polymerase); Integrase core domain; Integrase zinc binding domain; RNase H-like domain found in reverse transcriptase","IPR000477;IPR001584;IPR041588;IPR041577","Reverse transcriptase domain; Integrase, catalytic core; Integrase zinc-binding domain; Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain","GO:0015074","Y"
"229","g15120",1.11944197033589,2.27753204773103,4.46623311555116,7.74612861394719e-05,0.00610669863362451,"B+","scaffold_405","A",797,"scaffold_405","TRM7_HUMAN","C3ZIK7","PF01728","FtsJ-like methyltransferase","IPR002877","Ribosomal RNA methyltransferase FtsJ domain","GO:0008168;GO:0032259","Y"
"230","g18641",-4.6045620810204,1.38550881076894,-4.47903050659732,7.77449731945996e-05,0.00610669863362451,"B-","scaffold_362","A",918,"scaffold_362","HSP7C_RAT","A0A3B3CHS0","PF00012;PF00226","Hsp70 protein; DnaJ domain","IPR013126;IPR001623","Heat shock protein 70 family; DnaJ domain",NA,"Y"
"232","g8421",3.22368191013386,1.16416365613211,4.44574353987487,8.2234671151987e-05,0.00640367055617154,"B+","scaffold_232","A",858,"scaffold_232","FGFR4_XENLA","E0VYK9","PF07679;PF13927","Immunoglobulin I-set domain; Immunoglobulin domain","IPR013098","Immunoglobulin I-set",NA,"Y"
"234","g19483",2.14741313911757,2.1023137678479,4.42701614415702,8.56926790580382e-05,0.00661591427291674,"B+","scaffold_7","A",2680,"scaffold_7",NA,NA,"PF00651;PF07707","BTB/POZ domain; BTB And C-terminal Kelch","IPR000210;IPR011705","BTB/POZ domain; BTB/Kelch-associated","GO:0005515","Y"
"235","g19517",3.50512490888491,4.29211456643027,4.4273603982992,8.65865537055823e-05,0.00665647948614915,"B+","scaffold_7","A",571,"scaffold_7",NA,NA,"PF12248","Farnesoic acid 0-methyl transferase","IPR022041","Farnesoic acid O-methyl transferase",NA,"Y"
"238","g20162",3.02991471053114,3.81556999322689,4.4143244058124,8.89555394267371e-05,0.00675239821547661,"B+","scaffold_333","A",2314,"scaffold_333","NB5R2_MOUSE","A0A194Q8Y9","PF00175;PF09820;PF00970","Oxidoreductase NAD-binding domain; Predicted AAA-ATPase; Oxidoreductase FAD-binding domain","IPR001433;IPR018631;IPR008333","Oxidoreductase FAD/NAD(P)-binding; AAA-ATPase-like domain; Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain","GO:0016491;GO:0055114","Y"
"239","g19038",-3.51826294065634,-2.60186101113349,-4.40398596485381,9.19833684487021e-05,0.00695301897236089,"B-","scaffold_682","A",3865,"scaffold_682","YI31B_YEAST","A0A3B5QZY7,A0A3B5PQ07","PF00078;PF17921;PF00665;PF17919;PF13650","Reverse transcriptase (RNA-dependent DNA polymerase); Integrase zinc binding domain; Integrase core domain; RNase H-like domain found in reverse transcriptase; Aspartyl protease","IPR000477;IPR041588;IPR001584;IPR041577","Reverse transcriptase domain; Integrase zinc-binding domain; Integrase, catalytic core; Reverse transcriptase/retrotransposon-derived protein, RNase H-like domain","GO:0015074","Y"
"240","g23267",-1.98487749265058,0.651097957378674,-4.38854262130577,9.45696807226526e-05,0.00709135697789222,"B-","scaffold_1952","A",993,"scaffold_1952",NA,"A0A182N5X3","PF00339;PF02752","Arrestin (or S-antigen), N-terminal domain; Arrestin (or S-antigen), C-terminal domain","IPR011021;IPR011022","Arrestin-like, N-terminal; Arrestin C-terminal-like domain",NA,"Y"
"241","g7959",-5.51334947402557,0.181881017580225,-4.41480778422185,9.45985293740743e-05,0.00709135697789222,"B-","scaffold_323","A",1597,"scaffold_323","YL_DROME",NA,"PF00057","Low-density lipoprotein receptor domain class A","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat","GO:0005515","Y"
"242","g15097",-3.34458377879548,0.351011962171682,-4.38897697307825,9.53371931815693e-05,0.00711719723974476,"B-","scaffold_298","A",2581,"scaffold_298",NA,"A0A1S3W0A9","PF05699","hAT family C-terminal dimerisation region","IPR008906","HAT, C-terminal dimerisation domain","GO:0046983","Y"
"243","g22599",2.44919382466584,-0.0412517471763441,4.38010998833848,9.67336053698359e-05,0.00719172557453274,"B+","scaffold_6","A",2419,"scaffold_6",NA,"D6WTN9","PF17921","Integrase zinc binding domain","IPR041588","Integrase zinc-binding domain",NA,"Y"
"244","g5034",2.49812967439759,4.73216608676745,4.37391777114937,9.83035111359383e-05,0.00723938640912198,"B+","scaffold_155","A",3161,"scaffold_155",NA,"A0A151I7T8","PF02958","Ecdysteroid kinase","IPR004119","Ecdysteroid kinase-like",NA,"Y"
"245","g18503",-1.28125253665304,3.9300896832197,-4.37335692804365,9.83134714715055e-05,0.00723938640912198,"B-","scaffold_273","A",1560,"scaffold_273","UDB33_MACMU","A0A2J7QFA8","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"246","g5324",3.30326251460535,-0.618024847867529,4.37575527656569,9.85768325386918e-05,0.00723938640912198,"B+","scaffold_1973","A",881,"scaffold_1973","VGR_SOLIN",NA,"PF00057","Low-density lipoprotein receptor domain class A","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat","GO:0005515","Y"
"248","g9932",-4.01659740381184,-0.872375121273012,-4.36161994681465,0.000103694119192748,0.00755378208603303,"B-","scaffold_80","A",1377,"scaffold_80",NA,"A0A437B0J5","PF00589","Phage integrase family","IPR002104","Integrase, catalytic domain","GO:0003677;GO:0006310;GO:0015074","Y"
"249","g17875",1.51052539106456,3.92494484436902,4.32922787765544,0.00011009664885476,0.00796860771849802,"B+","scaffold_146","A",1246,"scaffold_146","CA131_DROME","J9K6X1","PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"250","g2975",-4.74216146184455,-4.45404642039923,-4.34584227047907,0.000110270781004345,0.00796860771849802,"B-","scaffold_366","A",844,"scaffold_366",NA,"A0A482XH24","PF00151","Lipase","IPR013818","Lipase/vitellogenin",NA,"Y"
"251","g21718",1.88542983303665,4.25115924060759,4.32458995990345,0.000111422917967048,0.00801978659758042,"B+","scaffold_9","A",820,"scaffold_9",NA,NA,"PF18694","Transactive response DNA-binding protein N-terminal domain","IPR041105","TAR DNA-binding protein 43, N-terminal",NA,"Y"
"252","g6173",-1.53078656637879,1.60325215778553,-4.3222935948485,0.000112071978920745,0.0080344935364372,"B-","scaffold_5","A",584,"scaffold_5",NA,NA,"PF00098","Zinc knuckle","IPR001878","Zinc finger, CCHC-type","GO:0003676;GO:0008270","Y"
"254","g20141",6.66902799765818,-0.0678064334893338,4.35704872423669,0.000114716770784202,0.00814463843177236,"B+","scaffold_333","A",1511,"scaffold_333",NA,"J9L6S7","PF09588","YqaJ-like viral recombinase domain","IPR019080","YqaJ viral recombinase",NA,"Y"
"255","g2808",3.99836190332903,-0.235158974898623,4.32151263038361,0.000114960854649726,0.00814463843177236,"B+","scaffold_817","A",1224,"scaffold_817","MYRO1_BREBR","T1HZR0","PF00232","Glycosyl hydrolase family 1","IPR001360","Glycoside hydrolase family 1","GO:0004553;GO:0005975","Y"
"258","g4735",3.04359088729072,-4.66636848612333,4.28994254865973,0.000122491857087577,0.00857727864396964,"B+","scaffold_193","A",2301,"scaffold_193","VGFR1_MOUSE","J9JQ98","PF13927;PF07679;PF07714","Immunoglobulin domain; Immunoglobulin I-set domain; Protein tyrosine kinase","IPR013098;IPR001245","Immunoglobulin I-set; Serine-threonine/tyrosine-protein kinase, catalytic domain","GO:0004672;GO:0006468","Y"
"262","g4239",1.90987473786044,4.21837022458673,4.27466730002816,0.000126637829961611,0.00873221006139869,"B+","scaffold_28","A",850,"scaffold_28",NA,"T1I2L3","PF00089","Trypsin","IPR001254","Serine proteases, trypsin domain","GO:0004252;GO:0006508","Y"
"264","g17311",-6.36423456325489,1.16521024967841,-4.30602777418297,0.000129605025296026,0.00886910752650761,"B-","scaffold_811","A",2024,"scaffold_811",NA,"J9KHS0","PF12017","Transposase protein","IPR021896","Transposase protein","GO:0004803;GO:0006313","Y"
"265","g20839",2.98779160234517,-3.22464178533911,4.26142528541243,0.000131715295185087,0.00897950385967465,"B+","scaffold_1004","A",452,"scaffold_1004",NA,NA,"PF00089","Trypsin","IPR001254","Serine proteases, trypsin domain","GO:0004252;GO:0006508","Y"
"268","g22184",2.54260362596914,-1.06158950555177,4.22258770676366,0.00014496502603913,0.00977215731501089,"B+","scaffold_11","A",1573,"scaffold_11",NA,"D2CG63","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"271","g7421",-3.73075271599111,-1.07243615744903,-4.20554935920707,0.000154049369262239,0.0102695789855779,"B-","scaffold_526","B2",1408,"scaffold_526","RCBT1_MOUSE","A0A232EN37","PF00651;PF00415","BTB/POZ domain; Regulator of chromosome condensation (RCC1) repeat","IPR000210;IPR000408","BTB/POZ domain; Regulator of chromosome condensation, RCC1","GO:0005515","Y"
"272","g10786",2.63499845654304,0.938578195972461,4.1903311299557,0.000157549556855241,0.0104503642281782,"B+","scaffold_270","A",1022,"scaffold_270",NA,NA,"PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"274","g15426",4.24066592762292,2.83601349291569,4.19671989518615,0.000159750047153736,0.0105330085835014,"B+","scaffold_29","A",2332,"scaffold_29","MODSP_DROME","T1H816","PF00057;PF00089","Low-density lipoprotein receptor domain class A; Trypsin","IPR002172;IPR001254","Low-density lipoprotein (LDL) receptor class A repeat; Serine proteases, trypsin domain","GO:0005515;GO:0004252;GO:0006508","Y"
"278","g23059",-1.55956519017316,2.17223184983668,-4.15596705158945,0.000171591175343139,0.0111509574595293,"B-","scaffold_82","A",5438,"scaffold_82","PLXA4_HUMAN","A0A482WJJ4","PF08337;PF01833;PF01403;PF18020","Plexin cytoplasmic RasGAP domain; IPT/TIG domain; Sema domain; TIG domain found in plexin","IPR013548;IPR002909;IPR001627;IPR041362","Plexin, cytoplasmic RasGAP domain; IPT domain; Sema domain; Plexin, TIG domain 2","GO:0005515","Y"
"281","g8580",-3.1310870182023,-4.43310883405735,-4.12335195614526,0.000188085282871411,0.0120923442005513,"B-","scaffold_447","A",488,"scaffold_447",NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Y"
"282","g18519",3.27257052136735,-0.358640308363146,4.11655120413237,0.000191843116406405,0.0122902047553125,"B+","scaffold_273","A",2250,"scaffold_273",NA,"A0A2B4RXD0","PF13650","Aspartyl protease",NA,NA,NA,"Y"
"283","g7094",2.88816817762966,-3.37233159755033,4.10852525821866,0.000194731475303276,0.0123943153341371,"B+","scaffold_79","A",1394,"scaffold_79","PATH_DROME","T1IBJ9","PF01490","Transmembrane amino acid transporter protein","IPR013057","Amino acid transporter, transmembrane domain",NA,"Y"
"284","g17218",-3.63308681071033,1.47767270298722,-4.11340356799668,0.000194840338475309,0.0123943153341371,"B-","scaffold_57","A",617,"scaffold_57","UDB14_RABIT","A0A2P8Z243","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"286","g17217",-3.71342074556949,1.55263233260545,-4.11088668804881,0.000196483483250457,0.0124114356937159,"B-","scaffold_57","A",872,"scaffold_57",NA,"A0A2J7R4V4","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"287","g13969",1.73093501759409,0.138348999563369,4.09295421910222,0.000201578539014172,0.0126889124941813,"B+","scaffold_1314","A",1169,"scaffold_1314",NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"288","g17213",-3.98492400016944,1.32850346922762,-4.10076795323474,0.000203125162731334,0.0126895768806302,"B-","scaffold_57","A",1070,"scaffold_57","CP6K1_BLAGE","A0A2J7R498","PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"289","g4663",-3.35394838888748,2.25990495350254,-4.09412310733042,0.000203515153613636,0.0126895768806302,"B-","scaffold_501","A",1953,"scaffold_501",NA,"A0A1W1H7Y2","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"291","g19499",1.68955287747993,3.87412453035145,4.08619201416987,0.000205087062180167,0.0127106738810189,"B+","scaffold_7","A",356,"scaffold_7","C6A13_DROME","A0A139WES4","PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"293","g18118",-3.01009361958944,-3.49653717796566,-4.08687198686816,0.000206153368688711,0.0127111493472022,"B-","scaffold_859","A",908,"scaffold_859",NA,"A0A2P8YF88","PF13359","DDE superfamily endonuclease","IPR027806","Harbinger transposase-derived nuclease domain",NA,"Y"
"294","g12441",-1.75327292911772,3.38638707079455,-4.0796166100416,0.000208563323356476,0.0128160034005377,"B-","scaffold_50","A",1880,"scaffold_50","UBB_PONPY","H2M983","PF00240","Ubiquitin family","IPR000626","Ubiquitin domain","GO:0005515","Y"
"295","g19539",-1.00534269049731,3.31643517362565,-4.07384904809363,0.000211645899827506,0.0129613383941821,"B-","scaffold_7","A",515,"scaffold_7",NA,NA,"PF08617","Kinase binding protein CGI-121","IPR013926","CGI121/TPRKB",NA,"Y"
"296","g17069",-4.17730561602083,-0.301571092825354,-4.07709197659548,0.000217147161483382,0.0132533129032391,"B-","scaffold_2094","A",1988,"scaffold_2094",NA,"A0A482XLL5",NA,NA,NA,NA,NA,"Y"
"297","g18800",-4.39559433841954,0.86399909874123,-4.07824325680721,0.000218024570812493,0.0132620602568973,"B-","scaffold_1581","B2",1289,"scaffold_1581",NA,"J9MAL5",NA,NA,NA,NA,NA,"Y"
"299","g17760",2.01662611577792,0.427879275207443,4.03506024583747,0.000233730251360105,0.0141223101039186,"B+","scaffold_186","A",1826,"scaffold_186","PEPT1_DROME","A0A2J7R2B1","PF00854","POT family","IPR000109","Proton-dependent oligopeptide transporter family","GO:0016020;GO:0022857;GO:0055085","Y"
"301","g23117",1.36094299820359,5.11608337371174,4.01734631686795,0.000244455022271097,0.0146721741938526,"B+","scaffold_222","A",1096,"scaffold_222","DMPM_STRAD","A0A1W1W4Q1","PF16864;PF00891","Dimerisation domain; O-methyltransferase domain","IPR031725;IPR001077","Acetylserotonin O-methyltransferase, dimerisation domain; O-methyltransferase domain","GO:0008171","Y"
"303","g19506",1.68436948986084,3.8404137689143,3.99370567425574,0.000259640023877794,0.0154807150870503,"B+","scaffold_7","A",1054,"scaffold_7","ACOD_HUMAN","J9JQB9","PF00487","Fatty acid desaturase","IPR005804","Fatty acid desaturase domain","GO:0006629","Y"
"308","g17219",-2.61225761536295,-0.758447005420299,-3.96721599172714,0.000278628135398038,0.0163431684873407,"B-","scaffold_57","A",396,"scaffold_57",NA,"K7J0S2",NA,NA,NA,NA,NA,"Y"
"309","g20034",-1.29890584553016,2.39498095208658,-3.96423708699146,0.000279858010888844,0.0163621838987633,"B-","scaffold_591","A",787,"scaffold_591","HSP74_ANOAL","A0A139WAS5","PF00012;PF00226","Hsp70 protein; DnaJ domain","IPR013126;IPR001623","Heat shock protein 70 family; DnaJ domain",NA,"Y"
"312","g20012",-2.08097239266132,2.68519500540663,-3.94701412026873,0.000292530543766131,0.016938643601535,"B-","scaffold_894","A",929,"scaffold_894","PWP2_PONAB","J9K4S6","PF00400","WD domain, G-beta repeat","IPR001680","WD40 repeat","GO:0005515","Y"
"313","g4358",-1.89668689968841,1.7532465437354,-3.93565112678114,0.000301016952522252,0.0173743522820032,"B-","scaffold_204","A",983,"scaffold_204","RDX_DROME","B4JSB8","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"316","g10350",-3.66363992597667,-1.33095067425824,-3.90905976970364,0.000329478217945496,0.0187364764164082,"B-","scaffold_159","A",5634,"scaffold_159",NA,"A0A3Q0JHJ8","PF10551;PF13472","MULE transposase domain; GDSL-like Lipase/Acylhydrolase family","IPR018289;IPR013830","MULE transposase domain; SGNH hydrolase-type esterase domain",NA,"Y"
"317","g5914",1.57242685167275,4.03469893386856,3.89980973154087,0.000329662159298155,0.0187364764164082,"B+","scaffold_139","A",3028,"scaffold_139","RENT1_DROME","T1HV29","PF18141;PF13086;PF09416;PF13087","Domain of unknown function (DUF5599); AAA domain; RNA helicase (UPF2 interacting domain); AAA domain","IPR040812;IPR041677;IPR018999;IPR041679","Domain of unknown function DUF5599; DNA2/NAM7 helicase, AAA domain; RNA helicase UPF1, UPF2-interacting domain; DNA2/NAM7 helicase-like, AAA domain","GO:0000184;GO:0003677;GO:0004386;GO:0005524;GO:0005737;GO:0008270","Y"
"318","g1716",5.0839333912138,1.81244036591087,3.92707555516905,0.000330642207115805,0.0187364764164082,"B+","scaffold_766","A",2838,"scaffold_766","BGBP_BOMMO","A0A482X6Z0","PF01822;PF00722","WSC domain; Glycosyl hydrolases family 16","IPR002889;IPR000757","Carbohydrate-binding WSC; Glycoside hydrolase family 16","GO:0004553;GO:0005975","Y"
"319","g15484",1.51103335511587,3.72555064812021,3.89840357722692,0.000330838922663246,0.0187364764164082,"B+","scaffold_29","A",2224,"scaffold_29",NA,"A0A139WBC4",NA,NA,NA,NA,NA,"Y"
"321","g19647",-1.31021826487705,3.15733508639187,-3.89312214365443,0.000335302426160044,0.0188709458909887,"B-","scaffold_248","A",1186,"scaffold_248","SPOPL_XENLA","A0A443SVV8","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"322","g18056",3.65876780420036,-4.13144999291341,3.8916306241228,0.000344472197349729,0.0193268158922988,"B+","scaffold_217","A",3299,"scaffold_217",NA,"A0A3S2NZ68","PF09588","YqaJ-like viral recombinase domain","IPR019080","YqaJ viral recombinase",NA,"Y"
