"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","gene_len","seq","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"826","g20177",4.33510626828402,1.69944331402925,7.86004068188126,1.16260841273233e-08,2.20600020009126e-07,"FB",278,"scaffold_370",NA,NA,NA,NA,NA,NA,NA,"N"
"827","g8643",-5.35417520173757,1.37201490503149,-7.85434196606721,1.17890845396072e-08,2.23283553652168e-07,"MB (FC > 5)",1155,"scaffold_87","RDX_DROME","A0A139WMR0","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"828","g6848",2.80289416623238,2.02925576723353,7.85390989345568,1.17960047485481e-08,2.23283553652168e-07,"FB",687,"scaffold_81",NA,NA,"PF00083","Sugar (and other) transporter","IPR005828","Major facilitator,  sugar transporter-like","GO:0016021;GO:0022857;GO:0055085","Y"
"829","g10627",-1.60360773245014,5.91200902541408,-7.8515355808916,1.18627502557857e-08,2.24276097417284e-07,"MB",864,"scaffold_32","ZN271_PONAB",NA,"PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","GO:0003676","Y"
"830","g269",2.96838431502174,4.82120654216654,7.84793595214172,1.19646838283479e-08,2.25930710411682e-07,"FB",2871,"scaffold_137","CO9A1_HUMAN","A0A067RAX2","PF01391","Collagen triple helix repeat (20 copies)","IPR008160","Collagen triple helix repeat",NA,"Y"
"831","g22755",-1.49109670009908,6.74886223656523,-7.84253188487401,1.2119392574239e-08,2.28576702546387e-07,"MB",1599,"scaffold_196","ASPC1_HUMAN","A0A482VX47","PF00789;PF11470","UBX domain; TUG ubiquitin-like domain","IPR001012;IPR021569","UBX domain; TUG ubiquitin-like domain","GO:0005515","Y"
"832","g9821",4.0874855674225,3.47572037421602,7.84142741596605,1.21516175147793e-08,2.28909015996557e-07,"FB",1125,"scaffold_47","CATB_PONAB","A0A1J1IT42","PF00112","Papain family cysteine protease","IPR000668","Peptidase C1A, papain C-terminal","GO:0006508;GO:0008234","Y"
"833","g14313",2.05443804765596,3.18298684600588,7.83566712199501,1.23188782245045e-08,2.31781246593827e-07,"FB",1160,"scaffold_3",NA,NA,"PF10324","Serpentine type 7TM GPCR chemoreceptor Srw","IPR019427","7TM GPCR, serpentine receptor class w (Srw)","GO:0008528","Y"
"834","g2991",2.85478571132617,1.47618604211555,7.83301255439637,1.23969177344796e-08,2.32969894067745e-07,"FB",446,"scaffold_366",NA,NA,"PF00501","AMP-binding enzyme","IPR000873","AMP-dependent synthetase/ligase","GO:0003824","Y"
"835","g2338",3.11706124831881,1.13424877393304,7.82745339106411,1.2561992874913e-08,2.3578935847726e-07,"FB",692,"scaffold_474","CGL2_CAEEL","A0A3S3NQX9","PF01053","Cys/Met metabolism PLP-dependent enzyme","IPR000277","Cys/Met metabolism, pyridoxal phosphate-dependent enzyme","GO:0030170","Y"
"836","g18491",4.97584742130793,0.277457560671269,7.82597646831616,1.26091431089527e-08,2.36391267878727e-07,"FB",843,"scaffold_273",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"837","g18518",-5.93688525784782,3.58000794724766,-7.82313724572703,1.27046331962324e-08,2.37727603036251e-07,"MB (FC > 5)",762,"scaffold_273",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"838","g17878",-5.36898928880516,1.57410780717047,-7.82269844754933,1.27107593533069e-08,2.37727603036251e-07,"MB (FC > 5)",2096,"scaffold_146","CP4C1_BLADI","J9JU30","PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"839","g10157",4.08833772874381,0.78387026125575,7.81647523723949,1.28949790498606e-08,2.40885585993403e-07,"FB",1281,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"840","g20820",2.5985527183866,5.21923542212504,7.81425101296402,1.29630764535243e-08,2.4181388475146e-07,"FB",11996,"scaffold_97",NA,NA,NA,NA,NA,NA,NA,"N"
"841","g16055",-3.14868942869188,7.29701738854776,-7.81384812509354,1.2975529705607e-08,2.4181388475146e-07,"MB",2250,"scaffold_315","PERO_DROME","X1WIY8","PF03098","Animal haem peroxidase","IPR019791","Haem peroxidase, animal-type",NA,"Y"
"842","g17463",2.56676177809429,4.98764219486457,7.81047799772852,1.30800913222933e-08,2.4347300628777e-07,"FB",2328,"scaffold_41","PPCE_RAT","A0A2J7QKX9","PF02897;PF00326","Prolyl oligopeptidase, N-terminal beta-propeller domain; Prolyl oligopeptidase family","IPR023302;IPR001375","Peptidase S9A, N-terminal domain; Peptidase S9, prolyl oligopeptidase, catalytic domain","GO:0004252;GO:0070008;GO:0006508;GO:0008236","Y"
"843","g18573",-5.48213970063082,0.0236214794766851,-7.80993009390676,1.31043334965867e-08,2.43634897855283e-07,"MB (FC > 5)",735,"scaffold_312",NA,NA,NA,NA,NA,NA,NA,"N"
"844","g2769",3.54495732600262,2.01234554666985,7.8075749607241,1.31709215225527e-08,2.44582764245224e-07,"FB",337,"scaffold_51",NA,NA,NA,NA,NA,NA,NA,"N"
"845","g18736",3.33352859752876,1.42679166208093,7.80602862644861,1.32194966756721e-08,2.4519428567788e-07,"FB",532,"scaffold_114",NA,NA,NA,NA,NA,NA,NA,"N"
"846","g15082",3.4606254383556,1.77477044929085,7.80279304508796,1.33218269154591e-08,2.46800228423157e-07,"FB",1613,"scaffold_68","ESTE_MYZPE","J9JZB7","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"847","g8990",-1.84402833018755,5.72444760341798,-7.79983067576119,1.34161650275019e-08,2.48254491707245e-07,"MB",1316,"scaffold_175",NA,"A0A3Q0J5Z2","PF09995","Uncharacterized protein conserved in bacteria (DUF2236)","IPR018713","Domain of unknown function DUF2236",NA,"Y"
"848","g17340",3.42143740909436,5.08031822630827,7.79584557564491,1.35442498610045e-08,2.50329042537175e-07,"FB",763,"scaffold_394",NA,NA,"PF06585","Haemolymph juvenile hormone binding protein (JHBP)","IPR010562","Haemolymph juvenile hormone binding",NA,"Y"
"849","g15668",-5.31849986971885,1.59195826566364,-7.79284595392458,1.36472400513529e-08,2.51922660751521e-07,"MB (FC > 5)",2187,"scaffold_674",NA,NA,"PF00560","Leucine Rich Repeat","IPR001611","Leucine-rich repeat","GO:0005515","Y"
"850","g21783",-6.7441693197378,2.65824276304894,-7.79291844905799,1.36733241633641e-08,2.51922660751521e-07,"MB (FC > 5)",476,"scaffold_9","ALR_MOUSE","A0A087ZV16","PF04777","Erv1 / Alr family","IPR017905","ERV/ALR sulfhydryl oxidase domain","GO:0016972;GO:0055114","Y"
"851","g4398",4.29160308916715,0.307799012671867,7.79172341156141,1.36786948446082e-08,2.51922660751521e-07,"FB",782,"scaffold_795",NA,"A0A482XTV4","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"852","g13757",1.86700064634142,6.55461293803812,7.77936335950182,1.40872281899404e-08,2.59142168334432e-07,"FB",452,"scaffold_377",NA,"A0A482XTY3","PF11901","Protein of unknown function (DUF3421)","IPR024518","Domain of unknown function DUF3421",NA,"Y"
"853","g22649",3.52918998236973,0.705699840304783,7.76374064485289,1.46225542644106e-08,2.68674434919234e-07,"FB",839,"scaffold_6",NA,"A0A2P8YRW9","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"854","g6717",2.93775768592595,2.72009114106742,7.75988219360994,1.47578634275942e-08,2.70843083724455e-07,"FB",1134,"scaffold_179",NA,"K7JKD1",NA,NA,NA,NA,NA,"Y"
"855","g14962",3.84770172646536,2.00613755761161,7.75918596220336,1.47826372946063e-08,2.70980437799257e-07,"FB",837,"scaffold_324","SDR1_AEDAE","A0A182H2F8","PF00106","short chain dehydrogenase","IPR002347","Short-chain dehydrogenase/reductase SDR",NA,"Y"
"856","g10006",-8.60246812377409,1.46646681414049,-7.75908415682494,1.49344310046261e-08,2.73418050389692e-07,"MB (FC > 5)",785,"scaffold_53",NA,NA,NA,NA,NA,NA,NA,"N"
"857","g22446",-2.40559287181715,3.51408439252331,-7.75445324942677,1.49505052755673e-08,2.73418050389692e-07,"MB",792,"scaffold_109",NA,NA,"PF15383","Transmembrane protein 237","IPR029409","Transmembrane protein 237",NA,"Y"
"858","g14959",3.04094192514531,5.91764844748563,7.752123697578,1.50339622688264e-08,2.74623881864005e-07,"FB",729,"scaffold_324","SDR1_AEDAE","A0A067QVP7","PF00106","short chain dehydrogenase","IPR002347","Short-chain dehydrogenase/reductase SDR",NA,"Y"
"859","g13819",4.06863734158984,-1.00510701718508,7.74904969931323,1.51452431153032e-08,2.76334569669555e-07,"FB",875,"scaffold_254","G3ST3_MOUSE","T1HAU9","PF06990","Galactose-3-O-sulfotransferase","IPR009729","Galactose-3-O-sulfotransferase","GO:0001733;GO:0005794;GO:0009247;GO:0016021","Y"
"860","g17985",-1.60510126171906,6.66568192355919,-7.74709474633005,1.52157340079455e-08,2.77297905937825e-07,"MB",1507,"scaffold_457","RCOR2_DANRE","A0A2J7PL06","PF00249;PF01448","Myb-like DNA-binding domain; ELM2 domain","IPR001005;IPR000949","SANT/Myb domain; ELM2 domain",NA,"Y"
"861","g20342",-6.87416835040196,2.30006222087456,-7.74493666878976,1.53385888051653e-08,2.79212197843618e-07,"MB (FC > 5)",1114,"scaffold_129",NA,NA,NA,NA,NA,NA,NA,"N"
"862","g5142",2.84251197025987,5.71928856175824,7.74229739427246,1.53912378520552e-08,2.7984555783673e-07,"FB",1810,"scaffold_174","YL_DROME",NA,"PF00057","Low-density lipoprotein receptor domain class A","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat","GO:0005515","Y"
"863","g8820",-2.00836367058967,3.92909334901218,-7.74094838438182,1.54409588046958e-08,2.80269482147687e-07,"MB",5852,"scaffold_2","SALM_DROVI","A0A2P8ZMP0,E0VVM9","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","GO:0003676","Y"
"864","g7619",-3.06436973638822,2.35427915314426,-7.74069517076272,1.54503179082244e-08,2.80269482147687e-07,"MB",908,"scaffold_663","PLS2_BOVIN","A0A482XBT0","PF03803","Scramblase","IPR005552","Scramblase","GO:0017121;GO:0017128","Y"
"865","g13108",-2.57718439409643,5.31376208084354,-7.73798686578351,1.55506941223366e-08,2.81764195351886e-07,"MB",1234,"scaffold_13","ABHD2_DROME","K7ILT9","PF12697","Alpha/beta hydrolase family","IPR000073","Alpha/beta hydrolase fold-1",NA,"Y"
"866","g17637",2.9750885578397,3.56192208357778,7.73542749763095,1.56461747514755e-08,2.83166855519487e-07,"FB",1041,"scaffold_448",NA,NA,"PF13895","Immunoglobulin domain","IPR007110","Immunoglobulin-like domain",NA,"Y"
"867","g5421",-2.6680995066905,1.89828769747756,-7.73488893227654,1.56663378973919e-08,2.8320474494328e-07,"MB",2050,"scaffold_195",NA,"E0VHD6",NA,NA,NA,NA,NA,"Y"
"868","g6827",-6.47795288848579,-0.429277657249735,-7.72999290211079,1.58821105209741e-08,2.86498310476987e-07,"MB (FC > 5)",685,"scaffold_81",NA,NA,"PF01027","Inhibitor of apoptosis-promoting Bax1","IPR006214","Bax inhibitor 1-related",NA,"Y"
"869","g8939",2.84204633982266,4.30464123634577,7.72909230872273,1.5885091035826e-08,2.86498310476987e-07,"FB",1605,"scaffold_2","LIPR3_HUMAN","J9JX72","PF00151","Lipase","IPR013818","Lipase/vitellogenin",NA,"Y"
"870","g12765",4.0571447504504,-1.75585638153952,7.72790324115039,1.5930798295606e-08,2.86992415732222e-07,"FB",218,"scaffold_372",NA,NA,NA,NA,NA,NA,NA,"N"
"871","g18571",-6.33792639757184,-0.454796450678836,-7.7274478046466,1.59747777903967e-08,2.87454296565887e-07,"MB (FC > 5)",906,"scaffold_312",NA,NA,NA,NA,NA,NA,NA,"N"
"872","g19116",2.37049355484196,6.43288331439687,7.72038375229958,1.62196184287644e-08,2.9152532068122e-07,"FB",6482,"scaffold_797","FAS_CHICK","J9K3D3","PF08659;PF00107;PF16197;PF00109;PF02801;PF00550;PF00975;PF00698","KR domain; Zinc-binding dehydrogenase; Ketoacyl-synthetase C-terminal extension; Beta-ketoacyl synthase, N-terminal domain; Beta-ketoacyl synthase, C-terminal domain; Phosphopantetheine attachment site; Thioesterase domain; Acyl transferase domain","IPR013968;IPR013149;IPR032821;IPR014030;IPR014031;IPR009081;IPR001031;IPR014043","Polyketide synthase, ketoreductase domain; Alcohol dehydrogenase, C-terminal; Ketoacyl-synthetase, C-terminal extension; Beta-ketoacyl synthase, N-terminal; Beta-ketoacyl synthase, C-terminal; Phosphopantetheine binding ACP domain; Thioesterase; Acyl transferase","GO:0055114;GO:0009058;GO:0016788","Y"
"873","g17076",3.80487510901207,0.603850851458959,7.71738350822633,1.63367407575701e-08,2.93259514101286e-07,"FB",1569,"scaffold_532","SQV3_CAEEL","A0A182GN55","PF13733;PF02709","N-terminal region of glycosyl transferase group 7; N-terminal domain of galactosyltransferase","IPR027995;IPR027791","Galactosyltransferase, N-terminal; Galactosyltransferase, C-terminal",NA,"Y"
"874","g9442",-4.79266071888335,1.09819652265574,-7.71702068698798,1.63535261484415e-08,2.93259514101286e-07,"MB",3005,"scaffold_340","TRPV6_HUMAN","T1HDJ1","PF00023;PF00520","Ankyrin repeat; Ion transport protein","IPR002110;IPR005821","Ankyrin repeat; Ion transport domain","GO:0005515;GO:0005216;GO:0006811;GO:0016020;GO:0055085","Y"
"875","g15697",-5.69522411952497,-2.44366764831983,-7.71576646545795,1.64125858997205e-08,2.93982238635793e-07,"MB (FC > 5)",471,"scaffold_493",NA,NA,NA,NA,NA,NA,NA,"N"
"876","g21906",3.33102070882294,4.75938829073415,7.71373717768375,1.64798130437789e-08,2.9484944045108e-07,"FB",1817,"scaffold_22","MAL2_DROVI","A0A0B4J2K5","PF00128","Alpha amylase, catalytic domain","IPR006047","Glycosyl hydrolase, family 13, catalytic domain","GO:0003824;GO:0005975","Y"
"877","g10821",-6.27224234197496,1.25569235504141,-7.70567541832903,1.6827806287117e-08,3.00732278150496e-07,"MB (FC > 5)",641,"scaffold_830",NA,NA,NA,NA,NA,NA,NA,"N"
"878","g16252",-6.98804603752007,1.57889941925088,-7.70569123470335,1.68549459809528e-08,3.00874223644047e-07,"MB (FC > 5)",994,"scaffold_629",NA,NA,NA,NA,NA,NA,NA,"N"
"879","g8636",-2.95664440939948,1.94259999233303,-7.70345781929742,1.68905748974992e-08,3.01158046591939e-07,"MB",1920,"scaffold_87","LOV_DROME","A0A067RH21","PF00651;PF05225","BTB/POZ domain; helix-turn-helix, Psq domain","IPR000210;IPR007889","BTB/POZ domain; DNA binding HTH domain, Psq-type","GO:0005515;GO:0003677","Y"
"880","g10796",2.57546175976467,3.89635633023567,7.70299585525299,1.69092758885284e-08,3.01158046591939e-07,"FB",1631,"scaffold_270","ESTE_MYZPE","J9JVG0","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"881","g16071",-5.95850516397207,2.47253469610788,-7.69675499314921,1.71829711104709e-08,3.05685251094678e-07,"MB (FC > 5)",1078,"scaffold_315",NA,NA,NA,NA,NA,NA,NA,"N"
"882","g17750",-6.19806050931862,0.593318574221085,-7.6813913843353,1.78344404541386e-08,3.16915176006478e-07,"MB (FC > 5)",1189,"scaffold_186",NA,NA,NA,NA,NA,NA,NA,"N"
"883","g2838",2.67992710417245,1.62811418342361,7.67857293368628,1.79289529178852e-08,3.18233838144977e-07,"FB",706,"scaffold_537",NA,NA,NA,NA,NA,NA,NA,"N"
"884","g10241",-5.04756762771971,-3.36417316911611,-7.67153452921975,1.8239511266531e-08,3.23379932217579e-07,"MB (FC > 5)",248,"scaffold_72",NA,NA,NA,NA,NA,NA,NA,"N"
"885","g14535",2.61735358026572,4.48243560636735,7.66997409655316,1.83027469406068e-08,3.2399354348009e-07,"FB",1259,"scaffold_145",NA,"R4FLB9","PF02958","Ecdysteroid kinase","IPR004119","Ecdysteroid kinase-like",NA,"Y"
"886","g17571",-1.92882842882085,4.48826969685643,-7.66968469017994,1.83154647816857e-08,3.2399354348009e-07,"MB",1247,"scaffold_247","RHBL3_HUMAN","A0A482XUP0","PF01694","Rhomboid family","IPR022764","Peptidase S54, rhomboid domain","GO:0004252;GO:0016021","Y"
"887","g7292",-2.61272649163601,3.95744983985801,-7.6681134610795,1.838467254837e-08,3.24851153157387e-07,"MB",1629,"scaffold_17","SNKY_DROME","A0A2A3EP22","PF07782","DC-STAMP-like protein","IPR012858","Dendritic cell-specific transmembrane protein-like","GO:0016021","Y"
"888","g4008",-2.9033005535382,3.36949176873494,-7.66230205970009,1.86429801359736e-08,3.29044400530534e-07,"MB",954,"scaffold_162","KPCD1_RAT","A0A139WES9","PF00069","Protein kinase domain","IPR000719","Protein kinase domain","GO:0004672;GO:0005524;GO:0006468","Y"
"889","g5723",3.16314740582624,5.12256902344659,7.65369456354556,1.90324142727032e-08,3.35539965012461e-07,"FB",2248,"scaffold_105",NA,NA,"PF05649","Peptidase family M13","IPR008753","Peptidase M13, N-terminal domain","GO:0006508","Y"
"890","g22944",6.34638631075631,-1.40717083229067,7.65102463894919,1.9188658795727e-08,3.37914437421831e-07,"FB (FC > 5)",605,"scaffold_37",NA,NA,"PF00050","Kazal-type serine protease inhibitor domain","IPR002350","Kazal domain","GO:0005515","Y"
"891","g5036",4.86429995783804,1.10367650659106,7.64507502488279,1.94346704836145e-08,3.41862615588878e-07,"FB",1207,"scaffold_155",NA,"A0A1I8Q2R1","PF02958","Ecdysteroid kinase","IPR004119","Ecdysteroid kinase-like",NA,"Y"
"892","g1589",-8.15279869538211,1.25905500578541,-7.64568439892936,1.95560580038401e-08,3.43612216473303e-07,"MB (FC > 5)",434,"scaffold_824",NA,NA,NA,NA,NA,NA,NA,"N"
"893","g21949",2.11499185936879,2.75785622496264,7.63719517498671,1.98022784990642e-08,3.47548836411907e-07,"FB",744,"scaffold_22","SDR1_AEDAE","A0A067QVP7","PF00106","short chain dehydrogenase","IPR002347","Short-chain dehydrogenase/reductase SDR",NA,"Y"
"894","g20968",-1.67246185958764,7.27893166369128,-7.63669712278855,1.98260070545853e-08,3.47576072222053e-07,"MB",2585,"scaffold_61","MIG10_CAEEL","A0A1S3D4W2","PF00788;PF00169","Ras association (RalGDS/AF-6) domain; PH domain","IPR000159;IPR001849","Ras-associating (RA) domain; Pleckstrin homology domain","GO:0007165","Y"
"895","g5706",2.58764026772002,3.83313527682937,7.63214385205946,2.0044289829043e-08,3.51010228481108e-07,"FB",1811,"scaffold_105","NTRK1_HUMAN","J9JNV6","PF07714","Protein tyrosine kinase","IPR001245","Serine-threonine/tyrosine-protein kinase, catalytic domain","GO:0004672;GO:0006468","Y"
"896","g10776",2.31674283419137,3.22955046908002,7.62673542114299,2.03067633245269e-08,3.55209711590748e-07,"FB",1704,"scaffold_270","ACSF2_DANRE","J9K0Q6","PF00501;PF13193","AMP-binding enzyme; AMP-binding enzyme C-terminal domain","IPR000873;IPR025110","AMP-dependent synthetase/ligase; AMP-binding enzyme, C-terminal domain","GO:0003824","Y"
"897","g7648",3.77965444501449,0.821532250770966,7.61934461417293,2.06713933753297e-08,3.61184780793247e-07,"FB",1141,"scaffold_92","FPS_PANGI","A0A1S4BBL2","PF00348","Polyprenyl synthetase","IPR000092","Polyprenyl synthetase","GO:0008299","Y"
"898","g4851",-8.45121024176328,3.06073263947994,-7.61588428826654,2.10440807307957e-08,3.67287168478575e-07,"MB (FC > 5)",915,"scaffold_304",NA,NA,"PF00089","Trypsin","IPR001254","Serine proteases, trypsin domain","GO:0004252;GO:0006508","Y"
"899","g10795",4.05183096308117,-0.346635578303922,7.60586977148645,2.13533883928502e-08,3.72271030346097e-07,"FB",853,"scaffold_270","ELOV6_HUMAN","A0A0L0CCK8","PF01151","GNS1/SUR4 family","IPR002076","ELO family","GO:0016021","Y"
"900","g21131",-6.8474263343564,0.0133920831385831,-7.60139011611763,2.16484542000347e-08,3.76995802974605e-07,"MB (FC > 5)",1617,"scaffold_341","MAL1_DROVI","A0A482WPG2","PF00128","Alpha amylase, catalytic domain","IPR006047","Glycosyl hydrolase, family 13, catalytic domain","GO:0003824;GO:0005975","Y"
"901","g13209",-2.44000836943526,1.34068554980976,-7.59854199715745,2.17330217304687e-08,3.78048445706588e-07,"MB",581,"scaffold_424","TM169_HUMAN","H9JGH7","PF15052","TMEM169 protein family","IPR029386","TMEM169 protein",NA,"Y"
"902","g12447",2.45858400186857,3.51683201774265,7.59783809392344,2.17699129985216e-08,3.78270339718213e-07,"FB",875,"scaffold_50",NA,NA,NA,NA,NA,NA,NA,"N"
"903","g2895",-4.06972193714539,0.103761264849939,-7.59583558173939,2.18759066480762e-08,3.7969112391506e-07,"MB",5913,"scaffold_89",NA,"J9LJR0",NA,NA,NA,NA,NA,"Y"
"904","g7873",-6.05463474219686,0.87537174594788,-7.59110662301685,2.21545933347553e-08,3.84102811211969e-07,"MB (FC > 5)",678,"scaffold_46",NA,NA,"PF00089","Trypsin","IPR001254","Serine proteases, trypsin domain","GO:0004252;GO:0006508","Y"
"905","g7121",-1.83743114259676,4.83464719947515,-7.58655138248132,2.23702642656844e-08,3.87413427443173e-07,"MB",1234,"scaffold_79",NA,NA,"PF05485","THAP domain","IPR006612","THAP-type zinc finger","GO:0003676","Y"
"906","g11367",-3.05822818032683,1.21221607006345,-7.58345998958591,2.25376441742266e-08,3.89881343424562e-07,"MB",298,"scaffold_151",NA,NA,NA,NA,NA,NA,NA,"N"
"907","g1243",-1.83266230587028,4.57179548957723,-7.57465599041007,2.3021327994514e-08,3.97809563018763e-07,"MB",5566,"scaffold_284","CAC1A_APIME","K7IRC4","PF08763;PF00520;PF16905","Voltage gated calcium channel IQ domain; Ion transport protein; Voltage-dependent L-type calcium channel, IQ-associated","IPR014873;IPR005821;IPR031649","Voltage-dependent calcium channel, alpha-1 subunit, IQ domain; Ion transport domain; Voltage-dependent L-type calcium channel, IQ-associated domain","GO:0005216;GO:0006811;GO:0016020;GO:0055085","Y"
"908","g18497",-7.33874711314151,-0.318101093211777,-7.57388284309736,2.31694528057829e-08,3.99928231084841e-07,"MB (FC > 5)",891,"scaffold_273",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"909","g6444",1.80344035991802,5.3639735246658,7.56871601428166,2.33536554969152e-08,4.02664293292797e-07,"FB",5360,"scaffold_184","PUR4_MOUSE","A0A2A3E8W2","PF02769;PF18072;PF13507;PF18076;PF13632","AIR synthase related protein, C-terminal domain; Formylglycinamide ribonucleotide amidotransferase linker domain; CobB/CobQ-like glutamine amidotransferase domain; Formylglycinamide ribonucleotide amidotransferase N-terminal; Glycosyl transferase family group 2","IPR010918;IPR041609;IPR040707;IPR001173","PurM-like, C-terminal domain; Phosphoribosylformylglycinamidine synthase, linker domain; Phosphoribosylformylglycinamidine synthase, N-terminal; Glycosyltransferase 2-like",NA,"Y"
"910","g13190",4.38635193222616,-0.169895568396101,7.56813330637244,2.33882688386885e-08,4.02817953306335e-07,"FB",2918,"scaffold_966","FGFR3_DANRE","A0A194RMP5","PF01403;PF07714;PF01833","Sema domain; Protein tyrosine kinase; IPT/TIG domain","IPR001627;IPR001245;IPR002909","Sema domain; Serine-threonine/tyrosine-protein kinase, catalytic domain; IPT domain","GO:0005515;GO:0004672;GO:0006468","Y"
"911","g23508",3.06110944735335,-1.63358561641316,7.56674831474303,2.34648343054471e-08,4.0369302751841e-07,"FB",1352,"scaffold_85",NA,"A0A261DD54","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"912","g6155",-3.53736256523166,-1.6457111661984,-7.56607162232694,2.35032996650861e-08,4.03911420669841e-07,"MB",594,"scaffold_5",NA,"A0A210Q4J0","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677","Y"
"913","g11479",2.41865070308238,2.77906848486631,7.55951843947575,2.38779414437052e-08,4.09900302570855e-07,"FB",2223,"scaffold_106",NA,NA,NA,NA,NA,NA,NA,"N"
"914","g22640",2.42582503882983,2.20478904903419,7.55564180798674,2.41025087344586e-08,4.13302647040668e-07,"FB",866,"scaffold_6",NA,"A0A2P8ZG59","PF00201","UDP-glucoronosyl and UDP-glucosyl transferase","IPR002213","UDP-glucuronosyl/UDP-glucosyltransferase","GO:0016758","Y"
"915","g21758",5.39011087145445,-0.601087689911507,7.55339573837477,2.42464919166731e-08,4.15317232579254e-07,"FB (FC > 5)",567,"scaffold_9",NA,NA,NA,NA,NA,NA,NA,"N"
"916","g14662",4.11299678318523,1.89812228744205,7.55144474062538,2.43489677685514e-08,4.16617218162125e-07,"FB",1392,"scaffold_1684","CP4C1_BLADI,C4D20_DROME","J9K6X1","PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"917","g18490",5.98047661406522,0.573091261660355,7.55092764517136,2.44078207048004e-08,4.17168782885863e-07,"FB (FC > 5)",846,"scaffold_273",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"918","g9614",2.82431839611004,4.87146937979195,7.54849879851229,2.45219646079798e-08,4.18663127778723e-07,"FB",502,"scaffold_732",NA,NA,NA,NA,NA,NA,NA,"N"
"919","g6558",-2.64836555013776,4.701161240787,-7.54615741546397,2.4661070829152e-08,4.20266407544242e-07,"MB",2182,"scaffold_52",NA,NA,NA,NA,NA,NA,NA,"N"
"920","g13170",-3.50000892571744,4.26931238388623,-7.54601782889108,2.46695013680024e-08,4.20266407544242e-07,"MB",4950,"scaffold_13","ABCA3_HUMAN","J9K9B5","PF12698;PF00005","ABC-2 family transporter protein; ABC transporter","IPR003439","ABC transporter-like","GO:0005524;GO:0016887","Y"
"921","g5135",2.71202569955864,3.88123673704804,7.5451566753828,2.47207740745999e-08,4.2065770568635e-07,"FB",1919,"scaffold_174","VGR_SOLIN",NA,"PF00057","Low-density lipoprotein receptor domain class A","IPR002172","Low-density lipoprotein (LDL) receptor class A repeat","GO:0005515","Y"
"922","g18405",-1.94549945111542,4.1103519096578,-7.54473205128078,2.47461497251844e-08,4.2065770568635e-07,"MB",3388,"scaffold_468","MRP1_MOUSE","K7J1C7","PF00664;PF00005","ABC transporter transmembrane region; ABC transporter","IPR011527;IPR003439","ABC transporter type 1, transmembrane domain; ABC transporter-like","GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887","Y"
"923","g5953",3.00952236276198,2.4567085435943,7.54386264205422,2.47982021083826e-08,4.21085830600954e-07,"FB",5576,"scaffold_115",NA,NA,NA,NA,NA,NA,NA,"N"
"924","g13897",4.06503277272215,2.46448505803798,7.54058065752458,2.49964644988848e-08,4.23993060704569e-07,"FB",1175,"scaffold_118",NA,NA,NA,NA,NA,NA,NA,"N"
"925","g13090",-5.93844205654758,3.40237464274445,-7.53628377035744,2.52856291992998e-08,4.28434233989866e-07,"MB (FC > 5)",1998,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"926","g10378",3.5486664665355,4.03822352846262,7.52641856631388,2.58664946291485e-08,4.37802991709119e-07,"FB",1287,"scaffold_159",NA,NA,NA,NA,NA,NA,NA,"N"
"927","g4955",3.21175275819986,3.05472060871726,7.51213445243363,2.67759961223881e-08,4.52707861085425e-07,"FB",5997,"scaffold_176",NA,NA,NA,NA,NA,NA,NA,"N"
