"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","gene_len","seq","blast","diamond","interpro","anno"
"4515","g13207",-1.44598456159286,4.51514658249297,-1.54387998027019,0.0673037902766778,0.233623754238844,"NS",1790,"scaffold_424","PRIPO_MOUSE","A0A482XC41","Herpesviridae UL52/UL70 DNA primase","Y"
"4516","g9161",1.35813183799918,0.826090672168011,1.54377835137796,0.0673160769567167,0.233623754238844,"NS",1369,"scaffold_147",NA,NA,NA,"N"
"4517","g11714",1.18632777284182,9.81326211445463,1.54344722285164,0.0673561311778367,0.233711012607978,"NS",1229,"scaffold_168","GELS_DROME","A0A482X2N8","Gelsolin repeat","Y"
"4518","g3015",1.24011916783495,2.05846113751272,1.54329559442424,0.0673744791069106,0.233722932944358,"NS",955,"scaffold_540",NA,"J9JX55",NA,"Y"
"4519","g8402",1.51253061832053,3.17782837252769,1.54150428253236,0.0675915718537937,0.234424143762892,"NS",1044,"scaffold_531","MOG2A_XENLA","G3UGB8","Diacylglycerol acyltransferase","Y"
"4520","g19113",1.36115610513414,-0.0479940133681829,1.54037260002179,0.067728978035784,0.234848732910363,"NS",1241,"scaffold_38",NA,NA,NA,"N"
"4521","g11320",-1.92261378964146,2.2927504500893,-1.5400688881045,0.0677885997949745,0.235003478121353,"NS",453,"scaffold_406",NA,NA,"Insect cuticle protein","Y"
"4522","g16243",1.35566254365652,6.52819523877018,1.53641649611817,0.0682111976137446,0.236416209686028,"NS",1401,"scaffold_535","C15C1_BOMMO","A0A2J7PVT0","Cytochrome P450","Y"
"4523","g7958",1.47067493424589,0.388543840835356,1.53523576332106,0.0683556693473395,0.236822815293301,"NS",3920,"scaffold_323",NA,"A0A261D9Z1","Predicted AAA-ATPase","Y"
"4524","g16874",1.39944783508134,0.938238000531987,1.53521069359,0.068358732622146,0.236822815293301,"NS",1087,"scaffold_8",NA,NA,NA,"N"
"4525","g2494",1.10318941871406,6.61154405794713,1.5343709975334,0.068461625905809,0.237126864711988,"NS",1664,"scaffold_49","TRET1_AEDAE","A0A2J7RJ72","Sugar (and other) transporter","Y"
"4526","g11108",1.30424853666865,5.17410650480804,1.53263176519327,0.0686751481766184,0.237813874806041,"NS",3474,"scaffold_165",NA,"J9LLK3",NA,"Y"
"4527","g318",1.58645928891147,1.20807090320303,1.52984370114171,0.0690187436543454,0.238950909939155,"NS",1474,"scaffold_42",NA,NA,NA,"N"
"4528","g5942",1.19504958881967,3.21646767214631,1.52950907630128,0.0690598779538565,0.239040518368108,"NS",873,"scaffold_115",NA,NA,"GRF zinc finger","Y"
"4529","g3602",-2.20832907007729,-2.00492150034613,-1.52927245362378,0.0692862979105196,0.239771284422957,"NS",1704,"scaffold_1187",NA,"J9LBW7",NA,"Y"
"4530","g7952",1.21815052837085,5.25059858017271,1.52731027599109,0.0693318332153779,0.239875898892852,"NS",1912,"scaffold_323","VGR_SOLIN",NA,"Low-density lipoprotein receptor domain class A","Y"
"4531","g13847",1.46825892526274,-1.06108872925166,1.52645154309956,0.0694382884667932,0.24019119292431,"NS",907,"scaffold_685",NA,NA,NA,"N"
"4532","g13589",-1.30978112642238,4.2471247979378,-1.52577375642946,0.0695223928052427,0.240429051729163,"NS",552,"scaffold_391",NA,NA,NA,"N"
"4533","g4745",-1.12240455398813,5.52109317049774,-1.52471417320804,0.0696540509966017,0.240831224634842,"NS",2772,"scaffold_193","HIRA_DROME","A0A482WQU9","WD domain, G-beta repeat,HIRA B motif,TUP1-like enhancer of split","Y"
"4534","g8901",-1.34696113510295,-0.520965508071017,-1.52394276994983,0.0697500291996361,0.241084361887174,"NS",610,"scaffold_2",NA,"X1WXG2",NA,"Y"
"4535","g13079",1.32378653020829,1.90743227396564,1.52387851582396,0.0697580285304878,0.241084361887174,"NS",2006,"scaffold_13",NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y"
"4536","g5832",-1.36523969920268,3.4668549976551,-1.5233192985532,0.0698276803841871,0.24127187712993,"NS",2111,"scaffold_125",NA,NA,NA,"N"
"4537","g6867",1.43283154889003,0.96412852945515,1.52310673012916,0.0698541732377539,0.241310217578866,"NS",3455,"scaffold_855","ESTE_MYZPE","A0A154PTG2","Carboxylesterase family","Y"
"4538","g1842",-1.14379941640746,4.99569742523779,-1.52185423302833,0.070010425887493,0.241796695666522,"NS",962,"scaffold_229","LIX1L_HUMAN","E9G045","Limb expression 1","Y"
"4539","g13436",1.31826280714778,-0.524451106521265,1.5214168459866,0.0700650589675206,0.241932070764034,"NS",1090,"scaffold_40",NA,NA,NA,"N"
"4540","g14333",1.41000811868025,-0.45954174083396,1.52122200750143,0.0700894079398717,0.241962839348372,"NS",220,"scaffold_24",NA,NA,NA,"N"
"4541","g12560",1.41039682081322,0.807077031349101,1.52067982349834,0.0701571983110075,0.242143529867523,"NS",1444,"scaffold_246",NA,NA,NA,"N"
"4542","g21684",1.10695766537814,8.97161813144844,1.51907400067956,0.0703582896104014,0.242784120005245,"NS",1685,"scaffold_9","VATB_DROME","J9KAU8","ATP synthase alpha/beta family, beta-barrel domain,ATP synthase alpha/beta family, nucleotide-binding domain","Y"
"4543","g9531",-1.23456055829672,2.87225586103836,-1.51790732865276,0.0705046822346483,0.243235721915836,"NS",1658,"scaffold_101",NA,NA,NA,"N"
"4544","g8902",1.29346896508056,2.37689464189177,1.51446197588686,0.0709384472666574,0.244678319544525,"NS",1934,"scaffold_2",NA,NA,"Predicted AAA-ATPase","Y"
"4545","g9549",-1.13743717723818,6.67284332203884,-1.51377529714524,0.0710251577984976,0.244923497948482,"NS",5274,"scaffold_101","HELZ_DANRE","E0VGG2","Ataxin-2 C-terminal region,AAA domain","Y"
"4546","g11494",-1.30421594899582,0.758657492384237,-1.51360209255578,0.0710470428519713,0.244945073167388,"NS",1348,"scaffold_106","LACH_DROME","J9K4J3","Immunoglobulin I-set domain,Immunoglobulin domain","Y"
"4547","g4918",1.21995923188654,6.27639399546431,1.51133500306968,0.0713340035337023,0.245880324913947,"NS",1636,"scaffold_281","ESTF_MYZPE","A0A2J7QKK3","Carboxylesterase family","Y"
"4548","g5737",-1.43741190774805,4.48030616062565,-1.51046224896039,0.0714447276264324,0.24620783115415,"NS",3487,"scaffold_105","DCR1_DROME","A0A2J7PPT2","Ribonuclease III domain,PAZ domain,Helicase conserved C-terminal domain","Y"
"4549","g22386",1.21123461333919,5.4814340490477,1.51025676792589,0.0714708128584931,0.246243580991682,"NS",2836,"scaffold_30","AMPN_MANSE","A0A0M9A6N6","Peptidase family M1 domain,Peptidase M1 N-terminal domain,ERAP1-like C-terminal domain","Y"
"4550","g12044",1.36388700484443,1.03874820845535,1.50757188025474,0.07181240433679,0.247366112784727,"NS",648,"scaffold_156",NA,NA,NA,"N"
"4551","g17411",1.69529349319548,2.90935694037343,1.50619275286442,0.071990193458912,0.247924039130197,"NS",1807,"scaffold_198","DHGL_DROPS","J9JIY6","GMC oxidoreductase","Y"
"4552","g12906",-1.41596402495515,3.81903129784613,-1.50561250337158,0.0720625272788013,0.248082107818005,"NS",1679,"scaffold_44","YELL_DROME","T1I357","Major royal jelly protein","Y"
"4553","g9925",-1.25684288732095,6.61706628079286,-1.5055716416999,0.0720677494350396,0.248082107818005,"NS",922,"scaffold_80",NA,"J9KEK5",NA,"Y"
"4554","g13098",-1.3185079477689,-0.188113492361301,-1.50523521641964,0.0721107688768531,0.248175687441133,"NS",332,"scaffold_13","HME60_APIME","A0A1S3DGM6","Engrailed homeobox C-terminal signature domain,Homeodomain","Y"
"4555","g16489",-1.30271085497385,0.274815123343575,-1.50342388651405,0.0723427455364411,0.248919396441853,"NS",824,"scaffold_25",NA,"A0A482WM89",NA,"Y"
"4556","g14411",-1.84279899891147,-1.90990124435051,-1.50297232563384,0.0724143567033208,0.249069677039927,"NS",2933,"scaffold_502",NA,NA,NA,"N"
"4557","g4490",1.60875946569306,-1.22842385717784,1.50283869682078,0.0724182044452847,0.249069677039927,"NS",947,"scaffold_94",NA,NA,NA,"N"
"4558","g16576",-1.22402819293656,4.21736353762648,-1.50175053679282,0.0725575882974197,0.249442385990705,"NS",636,"scaffold_213",NA,NA,"PPPDE putative peptidase domain","Y"
"4559","g16780",1.27305398297534,2.65696364568054,1.50174420515447,0.0725584022032556,0.249442385990705,"NS",1412,"scaffold_638",NA,NA,NA,"N"
"4560","g16875",1.28248844460781,0.60995856836386,1.49881173925179,0.0729361539993034,0.250686039831378,"NS",668,"scaffold_8",NA,NA,NA,"N"
"4561","g23371",-1.29238880767746,2.41212248151165,-1.49767932570569,0.0730824538206065,0.251133808096989,"NS",1784,"scaffold_470",NA,NA,NA,"N"
"4562","g19199",1.38573886617027,-0.672588264175179,1.49680307379911,0.0731958228044281,0.251468244369531,"NS",704,"scaffold_305",NA,NA,NA,"N"
"4563","g6260",1.19061047856998,5.88519417049731,1.49344998577784,0.0736309562058559,0.252907731013452,"NS",2090,"scaffold_278","SO74D_DROME","J9K6L3","Organic Anion Transporter Polypeptide (OATP) family","Y"
"4564","g21992",-1.82613408566869,1.18851554948528,-1.49311371756379,0.0736870785116054,0.253045044152583,"NS",1824,"scaffold_928",NA,NA,"Putative zinc-finger of transcription factor IIIC complex","Y"
"4565","g7125",-1.18628345882413,3.35099988598712,-1.49285918624237,0.0737078412705265,0.253060897312807,"NS",1836,"scaffold_79","CART_DROME","J9JW50","Sugar (and other) transporter","Y"
"4566","g7083",1.4368687553077,0.345369733473812,1.49250273231115,0.0737542645261141,0.253164824335915,"NS",766,"scaffold_79",NA,NA,NA,"N"
"4567","g1163",-1.24581390578479,0.498788547357258,-1.49218560229648,0.073795578866693,0.253251173106564,"NS",297,"scaffold_736",NA,NA,NA,"N"
"4568","g5516",1.29304933400885,1.11651808135231,1.49201056942973,0.0738183915721159,0.2532740041834,"NS",361,"scaffold_27",NA,NA,NA,"N"
"4569","g3443",-1.27535803528052,-0.17573206730414,-1.49145004505282,0.0738914852207354,0.253451306126616,"NS",587,"scaffold_10","HLX_MOUSE","A0A067RSB5","Homeodomain","Y"
"4570","g12991",-1.14014229623872,3.90497129254656,-1.49136630746407,0.0739024098129671,0.253451306126616,"NS",3343,"scaffold_345","CORIN_HUMAN","T1I1Y6","Fz domain,Trypsin,Low-density lipoprotein receptor domain class A","Y"
"4571","g13887",1.13883668772339,6.33509559705224,1.49099013879454,0.0739515017275504,0.25350921577144,"NS",1453,"scaffold_118","VGLU2_BOVIN","A0A482WG03","Major Facilitator Superfamily","Y"
"4572","g394",1.13715838512319,9.12665837387927,1.49098904007557,0.0739516451545348,0.25350921577144,"NS",2911,"scaffold_260","SP42D_DROME","J9JJ46","Serpin (serine protease inhibitor)","Y"
"4573","g14742",1.34058082986628,1.91714227506142,1.49054604298055,0.0740094924627733,0.253652039223496,"NS",1484,"scaffold_397",NA,NA,"Predicted AAA-ATPase","Y"
"4574","g16089",-1.3063222728063,0.838232825207359,-1.48934107926115,0.0741670234923928,0.254078060011057,"NS",685,"scaffold_191",NA,NA,"Double-strand recombination repair protein","Y"
"4575","g23473",-1.31217659920189,-0.929955745004889,-1.48919418093303,0.0741862467820986,0.254078060011057,"NS",344,"scaffold_48",NA,NA,NA,"N"
"4576","g3572",1.6044693437819,-2.12432487855462,1.48916654294741,0.0741902727089474,0.254078060011057,"NS",317,"scaffold_10",NA,NA,NA,"N"
"4577","g3708",1.33015537787771,3.17765808619857,1.48909949429248,0.0741986397416325,0.254078060011057,"NS",1396,"scaffold_396",NA,"A0A2G8JGX8","Pao retrotransposon peptidase","Y"
"4578","g232",-1.13180792490787,3.90586472453299,-1.48742581735874,0.0744179729404846,0.254773457819182,"NS",742,"scaffold_137",NA,NA,"Zinc finger, C3HC4 type (RING finger)","Y"
"4579","g10175",1.29529349331679,2.1043246869564,1.48649267235589,0.0745404876009149,0.255137161425887,"NS",2031,"scaffold_128","LAC1_AGABI","A0A067QPY0","Multicopper oxidase","Y"
"4580","g7733",3.59475550403515,-0.653331158250641,1.53054650372901,0.0747823155982225,0.255909002701079,"NS",1547,"scaffold_276",NA,NA,NA,"N"
"4581","g20891",-1.34054003392747,1.99461397901787,-1.48432009618684,0.0748263609991302,0.256003832337779,"NS",2249,"scaffold_411",NA,"A0A151JBG8","Domain of unknown function (DUF4371),hAT family C-terminal dimerisation region","Y"
"4582","g19058",-1.50022622077383,2.40863556434078,-1.48277308851873,0.0750304933891088,0.256646207526736,"NS",570,"scaffold_1406",NA,NA,NA,"N"
"4583","g3105",-2.98850867194393,-1.61719713854066,-1.50354631333964,0.0751443464561091,0.256979564042461,"NS",2301,"scaffold_36",NA,"X1WVL4","hAT family C-terminal dimerisation region","Y"
"4584","g13013",1.69894875017624,-1.32121367282714,1.47700869294699,0.0757974987174509,0.259156674825176,"NS",959,"scaffold_681",NA,NA,NA,"N"
"4585","g6072",1.45068843821395,0.100063376936686,1.47676724736187,0.0758270831840706,0.259201281296388,"NS",1775,"scaffold_5",NA,NA,"BTB/POZ domain,BTB And C-terminal Kelch","Y"
"4586","g7743",1.75057312944841,-1.39768798000213,1.47329149491137,0.0762969375807722,0.260750523921379,"NS",619,"scaffold_276",NA,NA,NA,"N"
"4587","g920",1.27063063586089,5.9660076636708,1.47291236178393,0.0763419694197202,0.260847544520444,"NS",2386,"scaffold_536",NA,NA,NA,"N"
"4588","g13670",-1.51443489458649,3.7766318403194,-1.47275584868018,0.0763629916296561,0.260862503882214,"NS",1705,"scaffold_35",NA,NA,NA,"N"
"4589","g20544",-1.16449002886364,8.12200058318068,-1.4708141995453,0.0766233999433096,0.261695041907059,"NS",2329,"scaffold_113","ABCGK_DICDI,ABCGN_DICDI","J9K0F0","ABC-2 type transporter,ABC transporter","Y"
"4590","g19560",1.31716512087441,0.792265260419972,1.47040911078083,0.0766778313192635,0.261823888947019,"NS",1103,"scaffold_666",NA,NA,"RNA ligase","Y"
"4591","g5995",1.13545083970448,9.09125907311714,1.46945356510321,0.0768063502066844,0.262205603744144,"NS",10327,"scaffold_216","PGBM_HUMAN","A0A067RIT1","Laminin G domain,Immunoglobulin domain,Laminin EGF domain,EGF-like domain,Immunoglobulin I-set domain,Low-density lipoprotein receptor domain class A,Laminin B (Domain IV)","Y"
"4592","g22115",-1.47111376126404,-0.902697499386789,-1.46856907683577,0.0769254833048897,0.262555117560439,"NS",537,"scaffold_11",NA,NA,NA,"N"
"4593","g7011",1.22401212990594,6.31620832137863,1.46832277178865,0.0769586633285831,0.262611175778115,"NS",1949,"scaffold_214","PLBL_DROME","A0A482XEH0","Phospholipase B","Y"
"4594","g20736",-1.89952596714475,-2.27914514800377,-1.4683319648034,0.0769908128761649,0.262663693993934,"NS",717,"scaffold_131","PWP2_PONAB","J9K4S6",NA,"Y"
"4595","g13428",-1.23950173351881,7.47055566959067,-1.46751022033119,0.0770682604994852,0.262870695714566,"NS",3944,"scaffold_40",NA,"A0A482XB75","DOMON domain","Y"
"4596","g10827",-1.232161910318,2.96928558753366,-1.46717868646678,0.0771130139092405,0.262960076625772,"NS",1399,"scaffold_776","S35F3_HUMAN","F4W8Z0",NA,"Y"
"4597","g18021",-1.30066379290889,3.54906506711369,-1.4670675488439,0.0771280209435765,0.262960076625772,"NS",1045,"scaffold_575",NA,NA,"Serpin (serine protease inhibitor)","Y"
"4598","g18338",-1.17694895686666,3.78234536203064,-1.46475181660087,0.0774412510224251,0.263970580094491,"NS",1429,"scaffold_121","BOWEL_DROME",NA,"Zinc finger, C2H2 type","Y"
"4599","g18812",1.2702920587229,3.73746271450939,1.46445422804444,0.0774815773913018,0.264050611535958,"NS",1888,"scaffold_558","TET5C_RAT","R4G8S0","Nucleotidyltransferase","Y"
"4600","g18884",1.316803731625,1.74529810223289,1.46374127879064,0.077578258131649,0.264322617325508,"NS",2262,"scaffold_172",NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y"
"4601","g15454",1.28408310310274,3.80640878544277,1.46294932315114,0.0776857662042064,0.264631387463275,"NS",1892,"scaffold_29",NA,NA,"Predicted AAA-ATPase","Y"
"4602","g21993",-1.69950991615356,-1.08068299019129,-1.46235962871558,0.0777689125363673,0.264857054798454,"NS",838,"scaffold_928",NA,NA,NA,"N"
"4603","g11365",1.30909486979399,1.73535407290646,1.46205526293718,0.0778072787644342,0.264930149918526,"NS",1293,"scaffold_151",NA,NA,"CHDNT (NUC034) domain","Y"
"4604","g5897",1.41012306137173,0.883494337484402,1.46179883168948,0.0778421608293265,0.264991352449616,"NS",2824,"scaffold_125",NA,NA,"BTB/POZ domain","Y"
"4605","g15342",-1.20281850050576,2.02649804709629,-1.46123468018568,0.0779189391719879,0.265195121312175,"NS",1487,"scaffold_668","SOL1_CAEEL","A0A139WB16","CUB domain","Y"
"4606","g15070",-1.34207361406098,1.67425720751161,-1.45970250233128,0.0781277739702905,0.265848154892827,"NS",521,"scaffold_68","B9D2_XENLA","A0A482XAP3","Ciliary basal body-associated, B9 protein","Y"
"4607","g17548",-1.16537128145845,3.84255790865059,-1.45936788397121,0.0781734418103778,0.265945811481235,"NS",3322,"scaffold_41","DISP1_MOUSE","A0A482X387","Patched family","Y"
"4608","g7028",1.3266928124289,2.30489418769892,1.45753613626385,0.0784238142073,0.266712479461611,"NS",1979,"scaffold_385",NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y"
"4609","g17467",1.31484740354906,3.46438347290468,1.4574702291228,0.078432834673551,0.266712479461611,"NS",2252,"scaffold_41","PPCE_MOUSE","A0A2A4JIM1","Prolyl oligopeptidase family,Prolyl oligopeptidase, N-terminal beta-propeller domain","Y"
"4610","g1725",1.1830590853281,4.31643239434561,1.45682753897237,0.0785208411129698,0.266953827063682,"NS",968,"scaffold_482",NA,NA,"Serpin (serine protease inhibitor)","Y"
"4611","g21657",-1.12500808139647,5.42179779077222,-1.45632814202538,0.0785892804487165,0.267128560501569,"NS",1069,"scaffold_9","RB27C_DROME","A0A158ND26,J9JZM2","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","Y"
"4612","g9694",1.26491021877162,7.02258432972369,1.4553548750381,0.0787227982483293,0.267524374879893,"NS",452,"scaffold_111",NA,NA,"PBP/GOBP family","Y"
"4613","g2129",1.71582601533332,-0.26615885390539,1.45302172883286,0.0790478634652178,0.268570813806711,"NS",956,"scaffold_122",NA,NA,NA,"N"
"4614","g13294",1.23332476642122,2.33411471482962,1.45195181605766,0.079191077416009,0.268999080264653,"NS",1031,"scaffold_202",NA,NA,"Arrestin (or S-antigen), C-terminal domain","Y"
"4615","g14883",-1.21231520007762,4.18330507018894,-1.45118169382625,0.0792973593733897,0.269301736394179,"NS",389,"scaffold_33","ENPP5_MOUSE","A0A2J7QW57","Type I phosphodiesterase / nucleotide pyrophosphatase","Y"
"4616","g3811",1.64853989414219,-1.47239625489061,1.45052427878163,0.0793896301684611,0.269556688394777,"NS",845,"scaffold_572",NA,NA,NA,"N"
"4617","g12525",-1.09717497201772,6.24612691667463,-1.44901015517006,0.07959766130029,0.270156163821467,"NS",1722,"scaffold_283","PAPD5_MOUSE","A0A482XRY5","Cid1 family poly A polymerase,Nucleotidyltransferase domain","Y"
"4618","g13997",2.14821381496397,-2.45117950478208,1.45075874897366,0.0796006612982541,0.270156163821467,"NS",559,"scaffold_39",NA,NA,NA,"N"
"4619","g21109",1.94310119443931,2.41435115751541,1.44898881466084,0.0796590473086442,0.270295788800256,"NS",1476,"scaffold_1540","CP4C1_BLADI","A0A067QYE8","Cytochrome P450","Y"
"4620","g22328",1.30530410627026,3.57690030665838,1.44792794591921,0.0797476594635946,0.270537893240891,"NS",3269,"scaffold_30",NA,NA,NA,"N"
"4621","g6975",-1.70534751836154,1.99323066254674,-1.44743201146378,0.0798203124554527,0.270725764361461,"NS",2205,"scaffold_26","SPOPB_XENLA","A0A1A9YNI6","BTB/POZ domain","Y"
"4622","g6557",-6.79297191469867,0.440683516501367,-1.6056859772121,0.0802092738778014,0.271986142251575,"NS",1120,"scaffold_52",NA,NA,"MATH domain,BTB/POZ domain","Y"
"4623","g22599",-1.6843888980211,-0.0399390812307968,-1.44259889910316,0.0804924888647391,0.272887470901375,"NS",2419,"scaffold_6",NA,"D6WTN9","Integrase zinc binding domain","Y"
"4624","g13133",-1.3036142850393,5.62390491734519,-1.44195690346548,0.0805793384041147,0.273122831057026,"NS",1945,"scaffold_13","CAD96_DROME","A0A2J7Q2Y6","Protein tyrosine kinase","Y"
"4625","g7585",1.2698412020688,1.6182406105239,1.44029972399128,0.0808113839666799,0.273850123439951,"NS",1104,"scaffold_16",NA,NA,NA,"N"
"4626","g21918",-1.42887133359742,-1.18581002837393,-1.43837267255336,0.0810818949762934,0.274707423251934,"NS",620,"scaffold_22",NA,NA,NA,"N"
"4627","g14680",1.73854183943669,-0.89485672315155,1.43781600674475,0.0811670149620438,0.27493637897128,"NS",255,"scaffold_462",NA,NA,NA,"N"
"4628","g4762",-1.71501732052205,0.114603873254898,-1.43754333263269,0.081203430324143,0.274970085816243,"NS",1270,"scaffold_193","SPA3K_MOUSE","T1HLK8","Serpin (serine protease inhibitor)","Y"
"4629","g21935",-1.35073059785027,5.99467528311992,-1.4374472183786,0.0812120543127281,0.274970085816243,"NS",798,"scaffold_22",NA,"R4FM13","Haemolymph juvenile hormone binding protein (JHBP)","Y"
"4630","g5829",1.49831580617379,-1.66379627661607,1.43667603151109,0.0813207057793977,0.275278492803564,"NS",745,"scaffold_125",NA,NA,NA,"N"
"4631","g15471",1.1626206354912,4.89357385789355,1.4347371670506,0.0815941820544913,0.276144594113591,"NS",1364,"scaffold_29","VGLU2_RAT","A0A1J1I798","Major Facilitator Superfamily","Y"
"4632","g17102",1.37155354341109,1.22821108346661,1.43444598035082,0.0816353263224934,0.276224194614085,"NS",1821,"scaffold_219",NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y"
"4633","g8595",1.38331679119022,2.48829613408046,1.43256749455561,0.0819011481118773,0.277063823517689,"NS",1522,"scaffold_87",NA,NA,NA,"N"
"4634","g11458",1.54395054635989,0.411170147619041,1.43098850864867,0.0821253230850363,0.277659612166751,"NS",2069,"scaffold_95",NA,NA,NA,"N"
"4635","g11313",1.56916063713368,-0.635296676293928,1.4309590769735,0.0821296659080537,0.277659612166751,"NS",2038,"scaffold_73",NA,"A0A261D9Z1","Predicted AAA-ATPase","Y"
"4636","g16782",2.50690311801542,-1.56905432370621,1.43965694950649,0.0821304129397728,0.277659612166751,"NS",1676,"scaffold_638",NA,"Q0IFS3",NA,"Y"
"4637","g3886",1.32750167588174,-0.934588048907206,1.43080973267887,0.0821505095781998,0.277667659395973,"NS",325,"scaffold_31",NA,NA,NA,"N"
"4638","g8945",-1.79664416345824,-0.728827804768751,-1.42694467724231,0.0827170009031075,0.279522111934973,"NS",2091,"scaffold_2",NA,NA,"Protein of unknown function (DUF1676)","Y"
"4639","g8233",1.3859583068495,-0.661252657547669,1.42590772332165,0.0828491244496694,0.279908240461235,"NS",665,"scaffold_19","HDHD1_HUMAN","A0A067QTN3","Haloacid dehalogenase-like hydrolase","Y"
"4640","g10760",1.11345518770786,6.42898588711739,1.42539237874062,0.0829228418050521,0.280096918019522,"NS",1144,"scaffold_412","S39A8_RAT","A0A482WQ18","ZIP Zinc transporter","Y"
"4641","g23273",1.85728461829487,4.43241971514831,1.42464590819116,0.0830617801123095,0.280505770243531,"NS",835,"scaffold_2108",NA,NA,NA,"N"
"4642","g22530",-1.12276254598553,5.65424451374846,-1.42341802690377,0.0832057506157574,0.280890645329437,"NS",1732,"scaffold_551","RNF44_RAT,RNF44_DANRE","A0A482XGH4","Ring finger domain","Y"
"4643","g8777",-1.19022993656046,1.45313337196227,-1.42337732434892,0.0832115910332786,0.280890645329437,"NS",449,"scaffold_194",NA,NA,NA,"N"
"4644","g8958",-1.37445892669409,3.77822312726718,-1.42295072427823,0.0832728243834271,0.281036816658366,"NS",493,"scaffold_306",NA,NA,NA,"N"
"4645","g15425",1.209901427643,4.91911616611199,1.42249130902368,0.0833388063672137,0.281198947727307,"NS",1939,"scaffold_29","MODSP_DROME","E2A2S9","Thiol-activated cytolysin beta sandwich domain,Trypsin,Low-density lipoprotein receptor domain class A","Y"
"4646","g12043",1.25957087776636,2.09507395597938,1.42153552624748,0.0834762123732938,0.281601953621747,"NS",695,"scaffold_156",NA,NA,"Phosphatidylethanolamine-binding protein","Y"
"4647","g5431",1.54587756445198,0.272561978222718,1.41828672872561,0.0839448626196842,0.283121978015561,"NS",683,"scaffold_195","FAS_ANSAN","D6W6D2","Beta-ketoacyl synthase, N-terminal domain","Y"
"4648","g3549",1.13064904417528,5.20286203698203,1.41787983756854,0.084003426940259,0.283229257084676,"NS",265,"scaffold_10",NA,NA,NA,"N"
"4649","g20960",-2.60426746086695,-1.92723074639237,-1.42991558551732,0.0840128128747947,0.283229257084676,"NS",1422,"scaffold_61","YWTG_BACSU","A0A482XLD1","Sugar (and other) transporter","Y"
"4650","g3007",-1.07652028691363,6.31542489492913,-1.41733174568982,0.084082698947961,0.283385204538102,"NS",1678,"scaffold_540",NA,"A0A212F1V3","Smg-4/UPF3 family","Y"
"4651","g13880",1.32975658533005,2.12112523985645,1.41724512288578,0.0840952329679519,0.283385204538102,"NS",2452,"scaffold_118","VGLU2_MOUSE","A0A482W178","Major Facilitator Superfamily","Y"
"4652","g8981",-2.39415091219479,-2.18358788809172,-1.42208239723833,0.084323907802933,0.284094605331882,"NS",1049,"scaffold_175",NA,NA,NA,"N"
"4653","g4663",2.55758211167789,2.26121761944809,1.42630976327943,0.0843420020806002,0.284094605331882,"NS",1953,"scaffold_501",NA,"A0A1W1H7Y2","Predicted AAA-ATPase","Y"
"4654","g21138",1.27289237710739,2.58785958437391,1.41235298387042,0.0848055143276511,0.285594504954292,"NS",1178,"scaffold_341",NA,"A0A151I7V9","Ecdysteroid kinase","Y"
"4655","g22747",-1.63594850881167,0.049410392913703,-1.41194595976983,0.0848665721577604,0.285738729415377,"NS",1584,"scaffold_196",NA,"A0A498M092","Integrase core domain","Y"
"4656","g4773",-1.43426579562476,1.89816903729972,-1.41169942718208,0.0849007726840508,0.285792485025156,"NS",244,"scaffold_193",NA,NA,NA,"N"
"4657","g2874",-1.14147176089104,5.37184271220605,-1.41138219236126,0.0849470262142374,0.285886781588092,"NS",1422,"scaffold_89","NCKX5_HUMAN","A0A482WX36","Sodium/calcium exchanger protein","Y"
"4658","g8555",1.9049833879257,1.28332068757001,1.4087107500825,0.0853958175163189,0.287335476155703,"NS",1688,"scaffold_112","MAL1_DROVI","A0A482WPG2","Alpha amylase, catalytic domain","Y"
"4659","g3329",-1.18626865738566,3.44756649378707,-1.40745810010988,0.0855209486298575,0.287694747344013,"NS",1799,"scaffold_135",NA,NA,NA,"N"
"4660","g10948",-1.64500065283746,-0.378844772418313,-1.40567585485385,0.0857848252229302,0.288504944544057,"NS",2531,"scaffold_1",NA,NA,NA,"N"
"4661","g9223",1.14388195726845,7.10663050670092,1.40548637753434,0.0858104824504645,0.288504944544057,"NS",2932,"scaffold_178","MA2B1_BOVIN","J9JTZ7","Glycosyl hydrolases family 38 C-terminal domain,Glycosyl hydrolases family 38 N-terminal domain,Glycosyl hydrolases family 38 C-terminal beta sandwich domain,Alpha mannosidase middle domain","Y"
"4662","g15281",1.36603393240786,1.26653420563498,1.40544196719717,0.0858170134284691,0.288504944544057,"NS",1509,"scaffold_336","SNMP1_APIME","T1IC87","CD36 family","Y"
"4663","g13596",-2.36556825298877,6.42895243248068,-1.41092875132695,0.0859043979974347,0.288736785291399,"NS",1092,"scaffold_391",NA,"A0A1S3D9H7","Protein of unknown function (DUF1676)","Y"
"4664","g1229",1.31434096312833,1.19492174609486,1.40412017281747,0.086011555054018,0.289034970489199,"NS",2083,"scaffold_284",NA,"A0A166CBV3","Predicted AAA-ATPase","Y"
