"gene","gene_len","seq","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"g13084",3230,"scaffold_13","ATK_DROME","A0A2P8XXQ6","PF13306;PF13855;PF13516","BspA type Leucine rich repeat region (6 copies); Leucine rich repeat; Leucine Rich repeat","IPR026906;IPR001611","BspA type Leucine rich repeat region; Leucine-rich repeat","GO:0005515","Y"
"g13085",568,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13086",339,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13087",2247,"scaffold_13","PI51A_RAT","A0A2J7Q593,A0A482X951,A0A2A3EJ11","PF01504","Phosphatidylinositol-4-phosphate 5-Kinase","IPR002498","Phosphatidylinositol-4-phosphate 5-kinase, core","GO:0016307;GO:0046488","Y"
"g13088",3000,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13089",1137,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g1309",2045,"scaffold_274",NA,NA,NA,NA,NA,NA,NA,"N"
"g13090",1998,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13091",1140,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13092",952,"scaffold_13","LASP1_CAEEL","A0A482WF46","PF14604;PF00880;PF00412","Variant SH3 domain; Nebulin repeat; LIM domain","IPR001452;IPR000900;IPR001781","SH3 domain; Nebulin repeat; Zinc finger, LIM-type","GO:0005515","Y"
"g13093",943,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13094",773,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13095",256,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13096",373,"scaffold_13","HME60_APIME","A0A2P8Z4P0","PF10525;PF00046","Engrailed homeobox C-terminal signature domain; Homeodomain","IPR019549;IPR001356","Homeobox engrailed, C-terminal; Homeobox domain","GO:0003677","Y"
"g13097",353,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13098",332,"scaffold_13","HME60_APIME","A0A1S3DGM6","PF10525;PF00046","Engrailed homeobox C-terminal signature domain; Homeodomain","IPR019549;IPR001356","Homeobox engrailed, C-terminal; Homeobox domain","GO:0003677","Y"
"g13099",2450,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g131",1108,"scaffold_360",NA,NA,NA,NA,NA,NA,NA,"N"
"g1310",554,"scaffold_274",NA,NA,NA,NA,NA,NA,NA,"N"
"g13100",1304,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13101",257,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13102",304,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13103",442,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13104",661,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13105",708,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13106",211,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13107",462,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13108",1234,"scaffold_13","ABHD2_DROME","K7ILT9","PF12697","Alpha/beta hydrolase family","IPR000073","Alpha/beta hydrolase fold-1",NA,"Y"
"g13109",1044,"scaffold_13","ANM1_XENTR","T1K7E5","PF13649","Methyltransferase domain","IPR041698","Methyltransferase domain 25",NA,"Y"
"g1311",820,"scaffold_274","PSA1_MOUSE","A0A067RPC4","PF10584;PF00227","Proteasome subunit A N-terminal signature; Proteasome subunit","IPR000426;IPR001353","Proteasome alpha-subunit, N-terminal domain; Proteasome, subunit alpha/beta","GO:0004175;GO:0006511;GO:0019773;GO:0004298;GO:0005839;GO:0051603","Y"
"g13110",1652,"scaffold_13","RAGP1_XENLA","D6WGI9","PF07834;PF13516","RanGAP1 C-terminal domain; Leucine Rich repeat","IPR009109;IPR001611","Ran-GTPase activating protein 1, C-terminal; Leucine-rich repeat","GO:0005096;GO:0007165;GO:0005515","Y"
"g13111",1232,"scaffold_13",NA,"B4M202","PF13923","Zinc finger, C3HC4 type (RING finger)",NA,NA,NA,"Y"
"g13112",3337,"scaffold_13","HEM_DROME","A0A067R1Z2","PF09735","Membrane-associated apoptosis protein","IPR019137","Nck-associated protein 1",NA,"Y"
"g13113",278,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13114",1349,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13115",226,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13116",267,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13117",232,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13118",335,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13119",2315,"scaffold_13",NA,"D6WTN9",NA,NA,NA,NA,NA,"Y"
"g1312",1218,"scaffold_274",NA,"A0A482WZE8",NA,NA,NA,NA,NA,"Y"
"g13120",343,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13121",1123,"scaffold_13","PAX6_DANRE","D2A0W2","PF00046;PF00292","Homeodomain; 'Paired box' domain","IPR001356;IPR001523","Homeobox domain; Paired domain","GO:0003677;GO:0006355","Y"
"g13122",1984,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13123",615,"scaffold_13","HTSF1_MOUSE","A0A2J7QPI0",NA,NA,NA,NA,NA,"Y"
"g13124",1484,"scaffold_13",NA,"A0A3B1JXH3","PF05699","hAT family C-terminal dimerisation region","IPR008906","HAT, C-terminal dimerisation domain","GO:0046983","Y"
"g13125",204,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13126",249,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13127",201,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13128",1990,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13129",409,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g1313",862,"scaffold_274",NA,NA,NA,NA,NA,NA,NA,"N"
"g13130",253,"scaffold_13",NA,NA,"PF06979","Assembly, mitochondrial proton-transport ATP synth complex","IPR009724","TMEM70 family",NA,"Y"
"g13131",1111,"scaffold_13","MET17_BOVIN,MET17_MOUSE","X1WIV5,A0A2J7QJV5","PF09243","Mitochondrial small ribosomal subunit Rsm22","IPR015324","Ribosomal protein Rsm22-like","GO:0006412;GO:0008168","Y"
"g13132",557,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13133",1945,"scaffold_13","CAD96_DROME","A0A2J7Q2Y6","PF07714","Protein tyrosine kinase","IPR001245","Serine-threonine/tyrosine-protein kinase, catalytic domain","GO:0004672;GO:0006468","Y"
"g13134",1932,"scaffold_13","SH3K1_MOUSE","A0A2J7QVZ4","PF00018;PF14604","SH3 domain; Variant SH3 domain","IPR001452","SH3 domain","GO:0005515","Y"
"g13135",800,"scaffold_13","OSB11_HUMAN","A0A482XP71","PF00169","PH domain","IPR001849","Pleckstrin homology domain",NA,"Y"
"g13136",1010,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13137",548,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13138",1179,"scaffold_13","LNPB_DANRE","A0A2J7Q6Q7","PF10058","Predicted integral membrane zinc-ribbon metal-binding protein","IPR019273","Lunapark domain",NA,"Y"
"g13139",1253,"scaffold_13","IDH3G_HUMAN","A0A1S4EKI7","PF00180","Isocitrate/isopropylmalate dehydrogenase","IPR024084","Isopropylmalate dehydrogenase-like domain","GO:0016616;GO:0055114","Y"
"g1314",868,"scaffold_274",NA,NA,NA,NA,NA,NA,NA,"N"
"g13140",792,"scaffold_13","CRK_DROME","T1I0P2","PF00017;PF00018;PF07653","SH2 domain; SH3 domain; Variant SH3 domain","IPR000980;IPR001452","SH2 domain; SH3 domain","GO:0005515","Y"
"g13141",348,"scaffold_13",NA,NA,"PF15000","Tumour suppressor candidate 2","IPR029393","Tumour suppressor candidate 2",NA,"Y"
"g13142",1026,"scaffold_13",NA,NA,"PF07679","Immunoglobulin I-set domain","IPR013098","Immunoglobulin I-set",NA,"Y"
"g13143",2581,"scaffold_13","MYRF_XENLA","E2ABU8,A0A195DCH7","PF13884;PF05224;PF13887","Chaperone of endosialidase; NDT80 / PhoG like DNA-binding  family; Myelin gene regulatory factor -C-terminal domain 1","IPR030392;IPR024061;IPR026932","Intramolecular chaperone auto-processing domain; NDT80 DNA-binding domain; Myelin gene regulatory factor C-terminal domain 1","GO:0003677","Y"
"g13144",2087,"scaffold_13","ELL_DROME","A0A158NEM7","PF07303;PF10390","Occludin homology domain; RNA polymerase II elongation factor ELL","IPR010844;IPR019464","Occludin homology domain; RNA polymerase II elongation factor ELL, N-terminal","GO:0006368;GO:0008023","Y"
"g13145",4210,"scaffold_13","SYTL4_HUMAN","J9JN19","PF00168","C2 domain","IPR000008","C2 domain",NA,"Y"
"g13146",6852,"scaffold_13","ANK2_MOUSE","A0A2J7QN88","PF12796;PF13637;PF00023;PF17809;PF00791;PF00531","Ankyrin repeats (3 copies); Ankyrin repeats (many copies); Ankyrin repeat; UPA domain; ZU5 domain; Death domain","IPR020683;IPR002110;IPR040745;IPR000906;IPR000488","Ankyrin repeat-containing domain; Ankyrin repeat; Ankyrin, UPA domain; ZU5 domain; Death domain","GO:0005515;GO:0007165","Y"
"g13147",367,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13148",238,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13149",7475,"scaffold_13",NA,"A0A482WUW5",NA,NA,NA,NA,NA,"Y"
"g1315",913,"scaffold_274","ALLP_HELAM",NA,"PF05953","Allatostatin","IPR010276","Allatostatin","GO:0005184","Y"
"g13150",1376,"scaffold_13","MOB2_DROPS","A0A482XK27","PF03637","Mob1/phocein family","IPR005301","MOB kinase activator family",NA,"Y"
"g13151",3088,"scaffold_13","IF4G2_PONAB","X1WIN5","PF02020;PF02854;PF00153","eIF4-gamma/eIF5/eIF2-epsilon; MIF4G domain; Mitochondrial carrier protein","IPR003307;IPR003890;IPR018108","W2 domain; MIF4G-like, type 3; Mitochondrial substrate/solute carrier","GO:0005515;GO:0003723","Y"
"g13152",1991,"scaffold_13","ALS_RAT","A0A482XJN4","PF13855","Leucine rich repeat","IPR001611","Leucine-rich repeat","GO:0005515","Y"
"g13153",535,"scaffold_13","COLT_DROME","K7IWR1","PF00153","Mitochondrial carrier protein","IPR018108","Mitochondrial substrate/solute carrier",NA,"Y"
"g13154",728,"scaffold_13","PRDX1_DROME","A0A195DBS0","PF00578;PF10417","AhpC/TSA family; C-terminal domain of 1-Cys peroxiredoxin","IPR000866;IPR019479","Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant; Peroxiredoxin, C-terminal","GO:0016209;GO:0016491;GO:0055114;GO:0051920","Y"
"g13155",449,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13156",1574,"scaffold_13",NA,"A0A482XSD2","PF06090","Inositol-pentakisphosphate 2-kinase","IPR009286","Inositol-pentakisphosphate 2-kinase","GO:0005524;GO:0035299","Y"
"g13157",693,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13158",440,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13159",951,"scaffold_13","EVE_DROME","J9JT97","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677","Y"
"g1316",353,"scaffold_274",NA,NA,NA,NA,NA,NA,NA,"N"
"g13160",277,"scaffold_13",NA,NA,"PF05577","Serine carboxypeptidase S28","IPR008758","Peptidase S28","GO:0006508;GO:0008236","Y"
"g13161",575,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13162",228,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13163",1690,"scaffold_13",NA,"A0A1S3CXK5","PF01697","Glycosyltransferase family 92","IPR008166","Glycosyltransferase family 92",NA,"Y"
"g13164",355,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13165",215,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13166",326,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13167",1859,"scaffold_13","TREA_APIME","J9JU09","PF01204","Trehalase","IPR001661","Glycoside hydrolase, family 37","GO:0004555;GO:0005991","Y"
"g13168",2066,"scaffold_13",NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g13169",1850,"scaffold_13",NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g1317",1368,"scaffold_274","NAGA_DROME","A0A182XID6","PF01979","Amidohydrolase family","IPR006680","Amidohydrolase-related","GO:0016787","Y"
"g13170",4950,"scaffold_13","ABCA3_HUMAN","J9K9B5","PF12698;PF00005","ABC-2 family transporter protein; ABC transporter","IPR003439","ABC transporter-like","GO:0005524;GO:0016887","Y"
"g13171",2370,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13172",1473,"scaffold_13",NA,NA,"PF00665","Integrase core domain","IPR001584","Integrase, catalytic core","GO:0015074","Y"
"g13173",897,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13174",547,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13175",1487,"scaffold_13",NA,"A0A482WW44","PF00100","Zona pellucida-like domain","IPR001507","Zona pellucida domain",NA,"Y"
"g13176",707,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13177",473,"scaffold_13",NA,NA,NA,NA,NA,NA,NA,"N"
"g13178",1207,"scaffold_13",NA,"X1WIP7","PF00100","Zona pellucida-like domain","IPR001507","Zona pellucida domain",NA,"Y"
"g13179",1234,"scaffold_13","CEPT1_CHICK","A0A067RQ11","PF01066","CDP-alcohol phosphatidyltransferase","IPR000462","CDP-alcohol phosphatidyltransferase","GO:0008654;GO:0016020;GO:0016780","Y"
"g1318",222,"scaffold_274",NA,NA,NA,NA,NA,NA,NA,"N"
"g13180",5257,"scaffold_13","MADD_DROME","A0A1W4WHL8","PF03456;PF02141","uDENN domain; DENN (AEX-3) domain","IPR005113;IPR001194","uDENN domain; cDENN domain",NA,"Y"
"g13181",1150,"scaffold_13","PDK_DROME","A0A1S3DCA9","PF10436;PF02518","Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase","IPR018955;IPR003594","Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal; Histidine kinase/HSP90-like ATPase",NA,"Y"
"g13182",718,"scaffold_13","CRCM1_DROME","A0A2A4J5M0","PF07856","Mediator of CRAC channel activity","IPR012446","Calcium release-activated calcium channel protein",NA,"Y"
"g13183",2628,"scaffold_13",NA,"A0A067R6B0",NA,NA,NA,NA,NA,"Y"
"g13184",485,"scaffold_13",NA,"J9KND6","PF14935","Transmembrane protein 138","IPR024133","Transmembrane protein 138",NA,"Y"
"g13185",1484,"scaffold_13","SNX27_MOUSE","A0A067QUP5","PF00787;PF00788;PF00595;PF18116","PX domain; Ras association (RalGDS/AF-6) domain; PDZ domain; Sorting Nexin 17 FERM C-terminal domain","IPR001683;IPR000159;IPR001478;IPR040842","Phox homologous domain; Ras-associating (RA) domain; PDZ domain; Sorting nexin-17/31, FERM domain","GO:0035091;GO:0007165;GO:0005515","Y"
"g13186",3120,"scaffold_13","DIAP3_MOUSE","A0A482X6T4","PF02181;PF06367;PF06371","Formin Homology 2 Domain; Diaphanous FH3 Domain; Diaphanous GTPase-binding Domain","IPR015425;IPR010472;IPR010473","Formin, FH2 domain; Formin, FH3 domain; Formin, GTPase-binding domain","GO:0003779;GO:0016043;GO:0017048;GO:0030036","Y"
"g13187",4503,"scaffold_13","AT10B_HUMAN","A0A482WX15","PF00122;PF13246;PF16209;PF16212","E1-E2 ATPase; Cation transport ATPase (P-type); Phospholipid-translocating ATPase N-terminal; Phospholipid-translocating P-type ATPase C-terminal","IPR032631;IPR032630","P-type ATPase, N-terminal; P-type ATPase, C-terminal",NA,"Y"
"g13188",438,"scaffold_13","CAH10_PONAB","E0VXZ0","PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"g13189",2300,"scaffold_966","FGFR3_DANRE","D6W6I2","PF07714;PF01833","Protein tyrosine kinase; IPT/TIG domain","IPR001245;IPR002909","Serine-threonine/tyrosine-protein kinase, catalytic domain; IPT domain","GO:0004672;GO:0006468","Y"
"g1319",1658,"scaffold_274",NA,NA,NA,NA,NA,NA,NA,"N"
"g13190",2918,"scaffold_966","FGFR3_DANRE","A0A194RMP5","PF01403;PF07714;PF01833","Sema domain; Protein tyrosine kinase; IPT/TIG domain","IPR001627;IPR001245;IPR002909","Sema domain; Serine-threonine/tyrosine-protein kinase, catalytic domain; IPT domain","GO:0005515;GO:0004672;GO:0006468","Y"
"g13191",953,"scaffold_979",NA,NA,NA,NA,NA,NA,NA,"N"
"g13192",404,"scaffold_424",NA,NA,NA,NA,NA,NA,NA,"N"
"g13193",3342,"scaffold_424","L2GL1_MOUSE","A0A2J7Q3P4","PF08366;PF08596","LLGL2; Lethal giant larvae(Lgl) like, C-terminal","IPR013577;IPR013905","Lethal giant larvae homologue 2; Lethal giant larvae (Lgl)-like, C-terminal domain",NA,"Y"
"g13194",2886,"scaffold_424","FRIZ_DROVI","A0A482X511","PF01392;PF01534","Fz domain; Frizzled/Smoothened family membrane region","IPR020067;IPR000539","Frizzled domain; Frizzled/Smoothened, transmembrane domain","GO:0005515;GO:0007166;GO:0016020","Y"
"g13195",275,"scaffold_424",NA,NA,NA,NA,NA,NA,NA,"N"
"g13196",239,"scaffold_424",NA,NA,NA,NA,NA,NA,NA,"N"
"g13197",866,"scaffold_424",NA,NA,"PF15313","Hexamethylene bis-acetamide-inducible protein","IPR024872","HEXIM","GO:0000122;GO:0004861;GO:0005634;GO:0005737;GO:0017069","Y"
"g13198",677,"scaffold_424",NA,NA,NA,NA,NA,NA,NA,"N"
"g13199",694,"scaffold_424",NA,NA,"PF15189","Meiosis-specific coiled-coil domain-containing protein MEIOC","IPR027963","Meiosis-specific coiled-coil domain-containing protein MEIOC","GO:0051321","Y"
"g132",1202,"scaffold_360",NA,NA,NA,NA,NA,NA,NA,"N"
"g1320",2791,"scaffold_274","TMTC1_HUMAN","J9KBD8","PF13181;PF08409","Tetratricopeptide repeat; Domain of unknown function (DUF1736)","IPR019734;IPR013618","Tetratricopeptide repeat; Domain of unknown function DUF1736","GO:0005515","Y"
"g13200",2555,"scaffold_424","SIWI_BOMMO","A0A067RM87","PF02171;PF02170","Piwi domain; PAZ domain","IPR003165;IPR003100","Piwi domain; PAZ domain","GO:0003676;GO:0005515","Y"
"g13201",2637,"scaffold_424","UBP8_HUMAN","A0A482WNT8","PF00443","Ubiquitin carboxyl-terminal hydrolase","IPR001394","Peptidase C19, ubiquitin carboxyl-terminal hydrolase","GO:0016579;GO:0036459","Y"
"g13202",1031,"scaffold_424","ELG_DROME","A0A232ELG8","PF00178;PF02198;PF11620","Ets-domain; Sterile alpha motif (SAM)/Pointed domain; GA-binding protein alpha chain","IPR000418;IPR003118;IPR024668","Ets domain; Pointed domain; GA-binding protein alpha subunit, N-terminal","GO:0003700;GO:0006355;GO:0043565;GO:0005634","Y"
"g13203",574,"scaffold_424","RHO1_DROME","A0A2P8ZH42","PF00071","Ras family","IPR001806","Small GTPase","GO:0003924;GO:0005525","Y"
"g13204",1443,"scaffold_424","WDR37_PONAB","A0A194RK15","PF00400","WD domain, G-beta repeat","IPR001680","WD40 repeat","GO:0005515","Y"
"g13205",618,"scaffold_424",NA,NA,"PF15165","Meiotic recombination protein REC114-like","IPR029168","Meiotic recombination protein REC114-like",NA,"Y"
"g13206",2211,"scaffold_424","NOC3L_DROME","X1WIF7","PF03914;PF07540","CBF/Mak21 family; Nucleolar complex-associated protein","IPR005612;IPR011501","CCAAT-binding factor; Nucleolar complex-associated protein 3, N-terminal",NA,"Y"
"g13207",1790,"scaffold_424","PRIPO_MOUSE","A0A482XC41","PF03121","Herpesviridae UL52/UL70 DNA primase",NA,NA,NA,"Y"
"g13208",368,"scaffold_424","TI16A_XENLA","A0A194RLV9","PF03656","Pam16",NA,NA,NA,"Y"
"g13209",581,"scaffold_424","TM169_HUMAN","H9JGH7","PF15052","TMEM169 protein family","IPR029386","TMEM169 protein",NA,"Y"
"g1321",470,"scaffold_274","PA2_BOMPE",NA,"PF05826","Phospholipase A2","IPR016090","Phospholipase A2 domain","GO:0004623;GO:0006644;GO:0050482","Y"
"g13210",942,"scaffold_424","MIER1_XENLA","A0A2J7PM97","PF01448","ELM2 domain","IPR000949","ELM2 domain",NA,"Y"
"g13211",812,"scaffold_424","BCD1_PONAB","A0A067R4B5","PF04438","HIT zinc finger","IPR007529","Zinc finger, HIT-type",NA,"Y"
"g13212",1592,"scaffold_424","FBXL7_MOUSE","A0A1S3DG52","PF12937;PF13516","F-box-like; Leucine Rich repeat","IPR001810;IPR001611","F-box domain; Leucine-rich repeat","GO:0005515","Y"
"g13213",484,"scaffold_424",NA,NA,"PF00751","DM DNA binding domain","IPR001275","DM DNA-binding domain","GO:0006355;GO:0043565","Y"
"g13214",785,"scaffold_424",NA,NA,"PF00751","DM DNA binding domain","IPR001275","DM DNA-binding domain","GO:0006355;GO:0043565","Y"
"g13215",1189,"scaffold_627","S17A5_HUMAN","K7J9C8","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"g13216",1391,"scaffold_627","VGLU3_DANRE","A0A482WG03","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"g13217",1356,"scaffold_627","VGLU2_BOVIN","T1IC35","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"g13218",1384,"scaffold_627","VGLU2_HUMAN","A0A2J7QA10","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"g13219",2675,"scaffold_627","VGLU3_DANRE","A0A482W178","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"g1322",341,"scaffold_274",NA,NA,NA,NA,NA,NA,NA,"N"
"g13220",220,"scaffold_627",NA,NA,NA,NA,NA,NA,NA,"N"
"g13221",434,"scaffold_627",NA,NA,"PF01395","PBP/GOBP family","IPR006170","Pheromone/general odorant binding protein","GO:0005549","Y"
"g13222",1389,"scaffold_627","VGLU3_DANRE","A0A2J7QA10","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"g13223",1284,"scaffold_627","VGLU3_DANRE","A0A2J7QA10","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"g13224",585,"scaffold_904",NA,NA,NA,NA,NA,NA,NA,"N"
"g13225",386,"scaffold_1935",NA,NA,NA,NA,NA,NA,NA,"N"
"g13226",230,"scaffold_1460",NA,NA,NA,NA,NA,NA,NA,"N"
"g13227",797,"scaffold_1941",NA,NA,NA,NA,NA,NA,NA,"N"
"g13228",676,"scaffold_547",NA,"A0A0J7KA95",NA,NA,NA,NA,NA,"Y"
"g13229",215,"scaffold_547",NA,NA,NA,NA,NA,NA,NA,"N"
"g1323",1468,"scaffold_274",NA,NA,"PF13306;PF13855","BspA type Leucine rich repeat region (6 copies); Leucine rich repeat","IPR026906;IPR001611","BspA type Leucine rich repeat region; Leucine-rich repeat","GO:0005515","Y"
"g13230",1374,"scaffold_547",NA,NA,NA,NA,NA,NA,NA,"N"
"g13231",1007,"scaffold_547",NA,NA,NA,NA,NA,NA,NA,"N"
"g13232",884,"scaffold_547",NA,"A8AH86","PF00753","Metallo-beta-lactamase superfamily","IPR001279","Metallo-beta-lactamase",NA,"Y"
"g13233",797,"scaffold_547",NA,"A0A2X3GHB6","PF00753","Metallo-beta-lactamase superfamily","IPR001279","Metallo-beta-lactamase",NA,"Y"
"g13234",1803,"scaffold_547",NA,"A0A0G3QEK5",NA,NA,NA,NA,NA,"Y"
"g13235",1864,"scaffold_547",NA,NA,"PF01770","Reduced folate carrier","IPR002666","Reduced folate carrier","GO:0016021;GO:0051180;GO:0090482","Y"
"g13236",974,"scaffold_759",NA,"A0A482VMA0","PF00379","Insect cuticle protein","IPR000618","Insect cuticle protein","GO:0042302","Y"
"g13237",760,"scaffold_759",NA,NA,NA,NA,NA,NA,NA,"N"
"g13238",291,"scaffold_759",NA,NA,NA,NA,NA,NA,NA,"N"
"g13239",772,"scaffold_759",NA,NA,NA,NA,NA,NA,NA,"N"
"g1324",1942,"scaffold_69",NA,"D6WEX8","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g13240",2139,"scaffold_759",NA,"A0A3Q0ISU8",NA,NA,NA,NA,NA,"Y"
"g13241",271,"scaffold_645",NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Y"
"g13242",905,"scaffold_645",NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Y"
"g13243",686,"scaffold_645",NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Y"
"g13244",3268,"scaffold_645","SKEL2_DROME","A0A3Q0J323","PF03351","DOMON domain","IPR005018","DOMON domain",NA,"Y"
"g13245",2283,"scaffold_645",NA,NA,NA,NA,NA,NA,NA,"N"
"g13246",848,"scaffold_645","SKEL1_DROME","A0A2J7PYP9","PF10517","Electron transfer DM13","IPR019545","DM13 domain",NA,"Y"
"g13247",301,"scaffold_645",NA,NA,NA,NA,NA,NA,NA,"N"
"g13248",1485,"scaffold_1246","MAL1_DROVI","J9K803","PF00128","Alpha amylase, catalytic domain","IPR006047","Glycosyl hydrolase, family 13, catalytic domain","GO:0003824;GO:0005975","Y"
"g13249",1913,"scaffold_624","FGFR3_CHICK","D6W6I2","PF07679;PF07714","Immunoglobulin I-set domain; Protein tyrosine kinase","IPR013098;IPR001245","Immunoglobulin I-set; Serine-threonine/tyrosine-protein kinase, catalytic domain","GO:0004672;GO:0006468","Y"
"g1325",1256,"scaffold_69",NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Y"
"g13250",790,"scaffold_624","CATL_BRUPA","A0A183LNH3","PF00112","Papain family cysteine protease","IPR000668","Peptidase C1A, papain C-terminal","GO:0006508;GO:0008234","Y"
"g13251",1949,"scaffold_624","FGFR3_PLEWA","D6W6I2","PF07679;PF07714;PF13895","Immunoglobulin I-set domain; Protein tyrosine kinase; Immunoglobulin domain","IPR013098;IPR001245;IPR007110","Immunoglobulin I-set; Serine-threonine/tyrosine-protein kinase, catalytic domain; Immunoglobulin-like domain","GO:0004672;GO:0006468","Y"
"g13252",1014,"scaffold_624","CAT8_MOUSE","A0A0M5JBR9","PF08246;PF00112","Cathepsin propeptide inhibitor domain (I29); Papain family cysteine protease","IPR013201;IPR000668","Cathepsin propeptide inhibitor domain (I29); Peptidase C1A, papain C-terminal","GO:0006508;GO:0008234","Y"
"g13253",1141,"scaffold_624",NA,NA,NA,NA,NA,NA,NA,"N"
