"gene","gene_len","seq","blast","diamond","interpro","anno"
"g15963",328,"scaffold_75",NA,NA,NA,"N"
"g15964",492,"scaffold_75",NA,NA,NA,"N"
"g15965",227,"scaffold_75",NA,NA,NA,"N"
"g15966",387,"scaffold_75",NA,NA,NA,"N"
"g15967",1023,"scaffold_75",NA,"J9JJD5","CRAL/TRIO domain","Y"
"g15968",1532,"scaffold_75","BIB_DROME","A0A482WUX4","Major intrinsic protein","Y"
"g15969",882,"scaffold_75",NA,NA,NA,"N"
"g1597",418,"scaffold_346",NA,NA,"Zinc finger, C2H2 type","Y"
"g15970",3933,"scaffold_75","GALT3_DROME","A0A2J7RBU6","Glycosyl transferase family 2,Ricin-type beta-trefoil lectin domain","Y"
"g15971",255,"scaffold_75",NA,NA,NA,"N"
"g15972",946,"scaffold_75","TXTP_CAEEL","A0A482WVK7","Mitochondrial carrier protein","Y"
"g15973",1044,"scaffold_75","RHBL3_HUMAN","J9JSR3","Rhomboid family,EF-hand domain pair","Y"
"g15974",1429,"scaffold_75","S29A3_BOVIN","A0A067RKJ1","Nucleoside transporter","Y"
"g15975",1156,"scaffold_75","PDD2L_CHICK","A0A139WMF8","Programmed cell death protein 2, C-terminal putative domain","Y"
"g15976",15168,"scaffold_75","TRR_DROME","A0A087ZQZ5","F/Y-rich N-terminus,PHD-like zinc-binding domain,F/Y rich C-terminus,SET domain,PHD-finger","Y"
"g15977",908,"scaffold_75","VP26C_HUMAN","A0A2J7R457","Vacuolar protein sorting-associated protein 26","Y"
"g15978",3130,"scaffold_75","ODO1_MACFA","A0A067QY88,A0A482X1Y1","2-oxoglutarate dehydrogenase C-terminal,2-oxoglutarate dehydrogenase N-terminus,Dehydrogenase E1 component,Transketolase, pyrimidine binding domain","Y"
"g15979",966,"scaffold_75",NA,NA,NA,"N"
"g1598",1241,"scaffold_346",NA,NA,NA,"N"
"g15980",1164,"scaffold_75",NA,NA,"bZIP transcription factor","Y"
"g15981",195,"scaffold_75",NA,NA,NA,"N"
"g15982",3502,"scaffold_75",NA,NA,NA,"N"
"g15983",2077,"scaffold_75","A4_DROME","A0A482WWH5","Beta-amyloid precursor protein C-terminus,E2 domain of amyloid precursor protein,Amyloid A4 N-terminal heparin-binding,Copper-binding of amyloid precursor, CuBD","Y"
"g15984",402,"scaffold_75",NA,NA,NA,"N"
"g15985",354,"scaffold_75",NA,"A0A482WQZ1",NA,"Y"
"g15986",599,"scaffold_75",NA,NA,NA,"N"
"g15987",435,"scaffold_75",NA,NA,NA,"N"
"g15988",332,"scaffold_75",NA,NA,"Snapin/Pallidin","Y"
"g15989",4225,"scaffold_75","YY46_NOSS1","T1HSR0","WD domain, G-beta repeat","Y"
"g1599",465,"scaffold_346",NA,NA,NA,"N"
"g15990",273,"scaffold_75","RL37A_DROME","Q201W6","Ribosomal L37ae protein family","Y"
"g15991",1036,"scaffold_75",NA,NA,"7tm Odorant receptor","Y"
"g15992",1106,"scaffold_75","KAPC1_DROME","N6UW64","Protein kinase domain","Y"
"g15993",800,"scaffold_75","DNAT_DROME","A0A482WXB1",NA,"Y"
"g15994",781,"scaffold_75",NA,NA,"DnaJ domain","Y"
"g15995",1325,"scaffold_75","TBCEL_RAT","J9K6N8","Ubiquitin-like domain","Y"
"g15996",880,"scaffold_75","EIF3F_AEDAE","A0A2J7PGD0","Maintenance of mitochondrial structure and function,JAB1/Mov34/MPN/PAD-1 ubiquitin protease","Y"
"g15997",4827,"scaffold_75","NFRKB_XENTR","A0A482W3L8","NFRKB Winged Helix-like","Y"
"g15998",1012,"scaffold_75","LST_PHOPY","E0W3F7","Sulfotransferase domain","Y"
"g15999",966,"scaffold_75","LST_PHOPY","E0W3F7","Sulfotransferase domain","Y"
"g16",2641,"scaffold_93","LIN54_XENTR","A0A067R4P5","Tesmin/TSO1-like CXC domain, cysteine-rich domain","Y"
"g160",2741,"scaffold_360",NA,"B7SVC7","Chitin binding Peritrophin-A domain","Y"
"g1600",200,"scaffold_346",NA,NA,NA,"N"
"g16000",966,"scaffold_75","LST_PHOPY","E0VMA7","Sulfotransferase domain","Y"
"g16001",2440,"scaffold_75","SRRM1_CHICK","A0A2J7R2A5","PWI domain","Y"
"g16002",1050,"scaffold_75","IST1_HUMAN","R4G8R3","Regulator of Vps4 activity in the MVB pathway","Y"
"g16003",1675,"scaffold_75","ARSJ_HUMAN","A0A482X581","Sulfatase","Y"
"g16004",2456,"scaffold_75","SEC63_HUMAN","A0A482WX85","Sec63 Brl domain,DnaJ domain","Y"
"g16005",358,"scaffold_75",NA,NA,NA,"N"
"g16006",560,"scaffold_75","MYPH_ECHGR","A0A0L0BR69","Calponin homology (CH) domain,Calponin family repeat","Y"
"g16007",961,"scaffold_75","ANXB9_DROME","A0A482X3W7","Annexin","Y"
"g16008",992,"scaffold_75","U160_DICDI","A0A1S3D6R4","Uncharacterised protein family (UPF0160)","Y"
"g16009",1588,"scaffold_75","ATPG_DROME","T1HN70","Rad51,ATP synthase","Y"
"g1601",755,"scaffold_346",NA,NA,NA,"N"
"g16010",1147,"scaffold_75",NA,NA,NA,"N"
"g16011",1767,"scaffold_75",NA,NA,NA,"N"
"g16012",2305,"scaffold_75","BRWD3_HUMAN","A0A2J7QQ27","WD domain, G-beta repeat","Y"
"g16013",4614,"scaffold_75","BRWD3_MOUSE","A0A2J7QQ27","Bromodomain,WD domain, G-beta repeat","Y"
"g16014",573,"scaffold_75",NA,NA,NA,"N"
"g16015",426,"scaffold_75","ISPT_PROMP",NA,"Putative undecaprenyl diphosphate synthase","Y"
"g16016",982,"scaffold_75","DHDDS_HUMAN","A0A151WM42","Putative undecaprenyl diphosphate synthase","Y"
"g16017",1217,"scaffold_75","CP4C1_BLADI","J9K6X1","Cytochrome P450","Y"
"g16018",1012,"scaffold_75","CP4C1_BLADI","J9JSP3","Cytochrome P450","Y"
"g16019",1061,"scaffold_1857",NA,NA,"Domain of unknown function (DUF4371),hAT family C-terminal dimerisation region","Y"
"g1602",943,"scaffold_346",NA,NA,NA,"N"
"g16020",340,"scaffold_772",NA,NA,NA,"N"
"g16021",217,"scaffold_1048",NA,NA,NA,"N"
"g16022",1298,"scaffold_1048",NA,NA,"Ulp1 protease family, C-terminal catalytic domain","Y"
"g16023",935,"scaffold_1048",NA,NA,NA,"N"
"g16024",84,"scaffold_225",NA,NA,NA,"N"
"g16025",1299,"scaffold_225",NA,"A0A0J7KQ89","Protein of unknown function (DUF3105)","Y"
"g16026",1670,"scaffold_225","ESTF_MYZPE","J9K2J7","Carboxylesterase family","Y"
"g16027",4534,"scaffold_225","ESTF_MYZPE","A0A482W6X5","Carboxylesterase family","Y"
"g16028",413,"scaffold_225",NA,NA,NA,"N"
"g16029",1670,"scaffold_225","ESTF_MYZPE","J9K2J7","Carboxylesterase family","Y"
"g1603",2347,"scaffold_346","SIF1_DROME","A0A088ANW2",NA,"Y"
"g16030",1634,"scaffold_225","ESTF_MYZPE","J9K2J7","Carboxylesterase family","Y"
"g16031",1229,"scaffold_225",NA,NA,NA,"N"
"g16032",3004,"scaffold_225","UBE4A_BOVIN","J9JLB6","Ubiquitin elongating factor core,U-box domain","Y"
"g16033",2363,"scaffold_225","SP3_HUMAN","A0A067RE79","Zinc finger, C2H2 type","Y"
"g16034",698,"scaffold_225","EXOS3_MOUSE","F4WJ75","KH domain","Y"
"g16035",1224,"scaffold_225","LIS1_BRAFL","A0A0J7L5G5","WD domain, G-beta repeat","Y"
"g16036",222,"scaffold_225",NA,NA,NA,"N"
"g16037",3716,"scaffold_225","FLII_DROME","A0A067QEP2","Gelsolin repeat,Leucine rich repeat","Y"
"g16038",248,"scaffold_225",NA,NA,"Putative mitochondrial precursor protein","Y"
"g16039",627,"scaffold_225",NA,NA,NA,"N"
"g1604",331,"scaffold_346",NA,NA,NA,"N"
"g16040",683,"scaffold_225",NA,NA,"Mitochondrial-associated sphingomyelin phosphodiesterase","Y"
"g16041",2533,"scaffold_225","UTP4_HUMAN","A0A2J7RKP9","WD domain, G-beta repeat,Anaphase-promoting complex subunit 4 WD40 domain","Y"
"g16042",4222,"scaffold_225","CLU_AEDAE","A0A067QPB0","Tetratricopeptide repeat,Mitochondrial function, CLU-N-term,Protein of unknown function (DUF727),Translation initiation factor eIF3 subunit 135,Clustered mitochondria","Y"
"g16043",503,"scaffold_225",NA,"A0A482X0S9","Carboxylesterase family","Y"
"g16044",392,"scaffold_225",NA,NA,NA,"N"
"g16045",491,"scaffold_225",NA,NA,NA,"N"
"g16046",980,"scaffold_225",NA,NA,"Fic/DOC family","Y"
"g16047",2965,"scaffold_225","PELET_DROME","J9KJP0","THAP domain,Transposase protein","Y"
"g16048",550,"scaffold_225",NA,NA,NA,"N"
"g16049",605,"scaffold_225",NA,NA,NA,"N"
"g1605",1805,"scaffold_346","S61A2_MOUSE","Q1ZZP2","SecY translocase,Plug domain of Sec61p","Y"
"g16050",1693,"scaffold_225",NA,NA,NA,"N"
"g16051",293,"scaffold_225",NA,NA,NA,"N"
"g16052",317,"scaffold_225",NA,NA,NA,"N"
"g16053",130,"scaffold_2103",NA,NA,"Zinc finger, C3HC4 type (RING finger)","Y"
"g16054",195,"scaffold_2103",NA,NA,NA,"N"
"g16055",2250,"scaffold_315","PERO_DROME","X1WIY8","Animal haem peroxidase","Y"
"g16056",1283,"scaffold_315","SEPT2_DROME","E2ANZ9","Septin","Y"
"g16057",520,"scaffold_315",NA,NA,NA,"N"
"g16058",2934,"scaffold_315","NCL1_CAEEL","A0A482WH67","NHL repeat,B-box zinc finger","Y"
"g16059",274,"scaffold_315",NA,NA,NA,"N"
"g1606",2278,"scaffold_346","CLCN7_MOUSE","J9JTB1","Voltage gated chloride channel,CBS domain","Y"
"g16060",262,"scaffold_315",NA,NA,NA,"N"
"g16061",284,"scaffold_315",NA,NA,NA,"N"
"g16062",3547,"scaffold_315","COPIA_DROME","J9KJ72","gag-polypeptide of LTR copia-type,Reverse transcriptase (RNA-dependent DNA polymerase),GAG-pre-integrase domain","Y"
"g16063",229,"scaffold_315",NA,NA,NA,"N"
"g16064",284,"scaffold_315",NA,NA,NA,"N"
"g16065",2471,"scaffold_315",NA,"J9K7E4","ALMS motif","Y"
"g16066",392,"scaffold_315",NA,NA,NA,"N"
"g16067",380,"scaffold_315",NA,NA,NA,"N"
"g16068",379,"scaffold_315",NA,NA,NA,"N"
"g16069",702,"scaffold_315",NA,NA,NA,"N"
"g1607",1292,"scaffold_346",NA,NA,"Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8","Y"
"g16070",332,"scaffold_315",NA,NA,NA,"N"
"g16071",1078,"scaffold_315",NA,NA,NA,"N"
"g16072",1297,"scaffold_315",NA,NA,"Integrase core domain","Y"
"g16073",341,"scaffold_315",NA,NA,NA,"N"
"g16074",232,"scaffold_315",NA,NA,NA,"N"
"g16075",2911,"scaffold_191",NA,"A0A016UZK2","Putative peptidase (DUF1758),Pao retrotransposon peptidase,Protein of unknown function (DUF1759)","Y"
"g16076",1358,"scaffold_191","VCP_APIME","A0A2A4K7Y2","Serine carboxypeptidase","Y"
"g16077",451,"scaffold_191","RS15A_DROYA","E2B3K1","Ribosomal protein S8","Y"
"g16078",1090,"scaffold_191",NA,NA,"Double-stranded RNA binding motif","Y"
"g16079",286,"scaffold_191",NA,NA,NA,"N"
"g1608",1124,"scaffold_346","SYWM_HUMAN","J9JPX7","tRNA synthetases class I (W and Y)","Y"
"g16080",1763,"scaffold_191","SNX29_BOVIN","A0A482WPI5","RUN domain,PX domain","Y"
"g16081",2139,"scaffold_191",NA,"A0A1W4WQQ7","Low-density lipoprotein receptor domain class A","Y"
"g16082",1373,"scaffold_191","PRI1_MOUSE","A0A067R177","DNA primase small subunit","Y"
"g16083",2260,"scaffold_191",NA,"A0A482WLA5",NA,"Y"
"g16084",2083,"scaffold_191","MP2K7_HUMAN","J9JZU4,A0A482WSE6","Protein kinase domain","Y"
"g16085",415,"scaffold_191",NA,NA,NA,"N"
"g16086",649,"scaffold_191",NA,NA,NA,"N"
"g16087",237,"scaffold_191",NA,NA,NA,"N"
"g16088",486,"scaffold_191","RT18C_MOUSE","J9M969","Ribosomal protein S18","Y"
"g16089",685,"scaffold_191",NA,NA,"Double-strand recombination repair protein","Y"
"g1609",860,"scaffold_346","RT15_DROME","J9K3K6","Ribosomal protein S15","Y"
"g16090",1316,"scaffold_191","KLKB1_MOUSE","T1HZ65","Trypsin","Y"
"g16091",1715,"scaffold_191",NA,NA,NA,"N"
"g16092",1562,"scaffold_191",NA,"J9M8W7","Immunoglobulin domain,CD80-like C2-set immunoglobulin domain","Y"
"g16093",2272,"scaffold_191","PEX6_ARATH","A0A2J7PH22","ATPase family associated with various cellular activities (AAA)","Y"
"g16094",301,"scaffold_191",NA,NA,NA,"N"
"g16095",901,"scaffold_191","NPL_XENTR","E2BFR7","Dihydrodipicolinate synthetase family","Y"
"g16096",896,"scaffold_191",NA,NA,NA,"N"
"g16097",558,"scaffold_191",NA,NA,NA,"N"
"g16098",755,"scaffold_191","LMO4_MOUSE","A0A067QXU8","LIM domain","Y"
"g16099",1586,"scaffold_191","P4HA2_CAEEL","A0A3Q0IMV6","2OG-Fe(II) oxygenase superfamily,Prolyl 4-Hydroxylase alpha-subunit, N-terminal region","Y"
"g161",2126,"scaffold_360",NA,NA,NA,"N"
"g1610",658,"scaffold_346",NA,NA,NA,"N"
"g16100",321,"scaffold_623",NA,NA,NA,"N"
"g16101",1294,"scaffold_623",NA,NA,NA,"N"
"g16102",1628,"scaffold_623",NA,NA,"Immunoglobulin domain","Y"
"g16103",341,"scaffold_623",NA,NA,NA,"N"
"g16104",945,"scaffold_623",NA,NA,NA,"N"
"g16105",772,"scaffold_1505",NA,NA,NA,"N"
"g16106",262,"scaffold_439",NA,NA,NA,"N"
"g16107",2999,"scaffold_439","FGFR2_DROME","A0A482XBJ6","Immunoglobulin domain,Protein tyrosine kinase,T-cell surface glycoprotein CD3 delta chain,Immunoglobulin I-set domain","Y"
"g16108",2015,"scaffold_439","FGFR1_DROME","A0A482XBJ6","Protein tyrosine kinase","Y"
"g16109",999,"scaffold_439",NA,NA,NA,"N"
"g1611",2871,"scaffold_346",NA,"A0A2J7PQI7","Domain of unknown function (DUF4764)","Y"
"g16110",1401,"scaffold_439","HXK2_DROME","A0A2J7RH67","Hexokinase","Y"
"g16111",403,"scaffold_439","NAC1_MOUSE","A0A2J7PKX6","Sodium/calcium exchanger protein","Y"
"g16112",2281,"scaffold_439",NA,NA,NA,"N"
"g16113",284,"scaffold_484",NA,NA,NA,"N"
"g16114",1123,"scaffold_484",NA,NA,NA,"N"
"g16115",2455,"scaffold_484","SYF1_DROME","A0A482WXK3","Tetratricopeptide repeat","Y"
"g16116",5988,"scaffold_484","NPA1P_HUMAN","A0A2J7QG37","Ribosome 60S biogenesis N-terminal,Nucleolar pre-ribosomal-associated protein 1","Y"
"g16117",337,"scaffold_484",NA,NA,NA,"N"
"g16118",443,"scaffold_484",NA,NA,NA,"N"
"g16119",1895,"scaffold_484","ANKR6_HUMAN","J9L8X0","Ankyrin repeat,Ankyrin repeats (3 copies)","Y"
"g1612",1043,"scaffold_346",NA,NA,"R3H domain","Y"
"g16120",301,"scaffold_484",NA,NA,NA,"N"
"g16121",421,"scaffold_484",NA,NA,NA,"N"
"g16122",490,"scaffold_484",NA,NA,NA,"N"
"g16123",5004,"scaffold_484",NA,NA,NA,"N"
"g16124",181,"scaffold_521",NA,NA,NA,"N"
"g16125",1370,"scaffold_521","IF2G_DROME","A0A482X2U2","Elongation factor Tu GTP binding domain,Initiation factor eIF2 gamma, C terminal,Elongation factor Tu domain 2","Y"
"g16126",627,"scaffold_521","ATPO_DROME","A0A482VW09","ATP synthase delta (OSCP) subunit","Y"
"g16127",499,"scaffold_521",NA,NA,NA,"N"
"g16128",496,"scaffold_521",NA,NA,"Thymosin beta-4 family","Y"
"g16129",409,"scaffold_521",NA,NA,NA,"N"
"g1613",469,"scaffold_346","GLRX5_MOUSE","A0A0L7QUL9","Glutaredoxin","Y"
"g16130",2803,"scaffold_521",NA,NA,NA,"N"
"g16131",962,"scaffold_521","PRRC1_DANRE","A0A2J7QJT0",NA,"Y"
"g16132",2165,"scaffold_521","ALG13_HUMAN","A0A482XCX5",NA,"Y"
"g16133",2339,"scaffold_521",NA,NA,"Chitin binding Peritrophin-A domain","Y"
"g16134",1603,"scaffold_521","ORCT_DROME","J9JYI0","Sugar (and other) transporter","Y"
"g16135",200,"scaffold_521",NA,NA,NA,"N"
"g16136",1934,"scaffold_521","5NTD_LUTLO","J9K3H9","Calcineurin-like phosphoesterase,5'-nucleotidase, C-terminal domain","Y"
"g16137",1742,"scaffold_521","5NTD_LUTLO","A0A2J7RHZ6","5'-nucleotidase, C-terminal domain,Calcineurin-like phosphoesterase","Y"
"g16138",349,"scaffold_54",NA,NA,NA,"N"
"g16139",427,"scaffold_54",NA,NA,NA,"N"
"g1614",309,"scaffold_346",NA,NA,NA,"N"
"g16140",284,"scaffold_54",NA,NA,NA,"N"
"g16141",386,"scaffold_54",NA,NA,NA,"N"
"g16142",242,"scaffold_54",NA,NA,NA,"N"
"g16143",893,"scaffold_54",NA,"A0A067RFS3",NA,"Y"
"g16144",1822,"scaffold_54",NA,"A0A482XP73","Ion channel","Y"
"g16145",3071,"scaffold_54","SAC2_DANRE","A0A067R946","Inositol phosphatase,SacI homology domain","Y"
"g16146",741,"scaffold_54",NA,NA,"Protein of unknown function (DUF1676)","Y"
"g16147",3998,"scaffold_54","PI3R4_HUMAN","T1I0F9","WD domain, G-beta repeat,Protein kinase domain","Y"
"g16148",815,"scaffold_54",NA,NA,NA,"N"
"g16149",1123,"scaffold_54","KC1A_XENLA","A0A2J7QDS4","Protein kinase domain","Y"
"g1615",1503,"scaffold_346","CP4C1_BLADI","A0A1S4EDV9","Cytochrome P450","Y"
"g16150",1337,"scaffold_54","NDOR1_HUMAN","J9JXA4","Oxidoreductase NAD-binding domain,FAD binding domain","Y"
"g16151",1749,"scaffold_54","NDOR1_XENLA","J9JXA4","Oxidoreductase NAD-binding domain,FAD binding domain,Flavodoxin","Y"
"g16152",934,"scaffold_54",NA,NA,"Protein of unknown function (DUF1676)","Y"
"g16153",1668,"scaffold_54",NA,NA,"Ras family,Protein of unknown function (DUF1759)","Y"
"g16154",1280,"scaffold_54",NA,"J9JK69","Protein of unknown function (DUF1676)","Y"
"g16155",772,"scaffold_54",NA,NA,"Protein of unknown function (DUF1676)","Y"
"g16156",933,"scaffold_54",NA,NA,"Protein of unknown function (DUF1676)","Y"
"g16157",768,"scaffold_54",NA,"J9L8V0","Protein of unknown function (DUF1676)","Y"
"g16158",800,"scaffold_54","PIHD1_XENLA","J9K910","PIH1 N-terminal domain,PIH1 CS-like domain","Y"
"g16159",432,"scaffold_54",NA,NA,NA,"N"
"g1616",1485,"scaffold_346","CP4C1_BLADI","A0A386RVW0","Cytochrome P450","Y"
"g16160",948,"scaffold_54",NA,NA,"Protein of unknown function (DUF1676)","Y"
"g16161",820,"scaffold_54",NA,"A0A482XS49","Protein of unknown function (DUF1676)","Y"
"g16162",266,"scaffold_54",NA,NA,NA,"N"
"g16163",787,"scaffold_54",NA,NA,"Protein of unknown function (DUF1676)","Y"
"g16164",961,"scaffold_54",NA,NA,"Protein of unknown function (DUF1676)","Y"
"g16165",682,"scaffold_54",NA,NA,"Protein of unknown function (DUF1676)","Y"
"g16166",760,"scaffold_54",NA,"J9JW80","Protein of unknown function (DUF1676)","Y"
"g16167",805,"scaffold_54",NA,"A0A482VD79","Protein of unknown function (DUF1676)","Y"
"g16168",294,"scaffold_54",NA,NA,NA,"N"
"g16169",935,"scaffold_54",NA,"A0A482X6X1","Protein of unknown function (DUF1676)","Y"
"g1617",202,"scaffold_346",NA,NA,NA,"N"
"g16170",525,"scaffold_54",NA,NA,NA,"N"
"g16171",547,"scaffold_54",NA,NA,NA,"N"
"g16172",784,"scaffold_54",NA,"C4WXR9","Protein of unknown function (DUF1676)","Y"
"g16173",743,"scaffold_54",NA,NA,NA,"N"
"g16174",1498,"scaffold_54",NA,"D6WJN0","Low-density lipoprotein receptor domain class A","Y"
"g16175",899,"scaffold_54",NA,"A0A482WT47","Protein of unknown function (DUF1676)","Y"
"g16176",208,"scaffold_54",NA,NA,NA,"N"
"g16177",978,"scaffold_54",NA,"A0A482X2H9","Protein of unknown function (DUF1676)","Y"
"g16178",383,"scaffold_54",NA,NA,NA,"N"
"g16179",1417,"scaffold_54",NA,"A0A482WN30","Protein of unknown function (DUF1676),DM4/DM12 family","Y"
"g1618",3592,"scaffold_346","PYC_HUMAN","K7JBS6,T1HWN2","Conserved carboxylase domain,Biotin-requiring enzyme,HMGL-like,Biotin carboxylase, N-terminal domain,Carbamoyl-phosphate synthase L chain, ATP binding domain,Biotin carboxylase C-terminal domain","Y"
"g16180",228,"scaffold_54",NA,NA,NA,"N"
"g16181",1922,"scaffold_54","KPEL_DROME","J9KAE6","Death domain,Protein kinase domain","Y"
"g16182",849,"scaffold_54","WUN_DROME","A0A026WG83","PAP2 superfamily","Y"
"g16183",843,"scaffold_54","PLPP3_MOUSE","A0A1U7RLZ6","PAP2 superfamily","Y"
"g16184",781,"scaffold_54","PLPP3_MOUSE","A0A1U7QGH2","PAP2 superfamily","Y"
"g16185",223,"scaffold_54",NA,NA,NA,"N"
"g16186",2528,"scaffold_54","HIL_DROME","A0A2J7R5J4","LIM domain","Y"
"g16187",998,"scaffold_54","LST_PHOPY","A0A482XRQ3","Sulfotransferase domain","Y"
"g16188",966,"scaffold_54","LST_PHOPY","A0A482XRQ3","Sulfotransferase domain","Y"
"g16189",972,"scaffold_54","LST_PHOPY","A0A232F7D1","Sulfotransferase domain","Y"
"g1619",474,"scaffold_346","TM50B_MOUSE","A0A482VE84","Uncharacterised protein family (UPF0220)","Y"
"g16190",524,"scaffold_54","MP2K4_MOUSE","J9JQ17","Protein kinase domain","Y"
"g16191",1294,"scaffold_54",NA,NA,"SAM domain (Sterile alpha motif)","Y"
"g16192",1125,"scaffold_54","S39AD_DROME","J9K901","ZIP Zinc transporter","Y"
"g16193",1052,"scaffold_54","RRP5_HUMAN","J9K3E5","Suppressor of forked protein (Suf)","Y"
"g16194",480,"scaffold_54","DOD_DROME","D6WFG9","PPIC-type PPIASE domain,WW domain","Y"
"g16195",1532,"scaffold_54","PSD12_MOUSE","A0A067RIG7","PCI domain,26S proteasome regulatory subunit RPN5 C-terminal domain","Y"
"g16196",1297,"scaffold_54",NA,"A0A2P8Y898","BAG domain","Y"
"g16197",2546,"scaffold_54","VPS39_MOUSE","A0A2J7RAX2","Vacuolar sorting protein 39 domain 1,CNH domain,Vacuolar sorting protein 39 domain 2","Y"
"g16198",2210,"scaffold_54","RAVR2_HUMAN","A0A1S3DK02","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","Y"
"g16199",2447,"scaffold_54","EVI5_DROME","A0A482WFR0","Rab-GTPase-TBC domain","Y"
"g162",728,"scaffold_360",NA,NA,"Per os infectivity factor 3","Y"
"g1620",1050,"scaffold_346","PDCD2_RAT","A0A164W3Q3","Programmed cell death protein 2, C-terminal putative domain","Y"
"g16200",2205,"scaffold_54","COG4_DROME","A0A482XFW5","COG4 transport protein","Y"
"g16201",619,"scaffold_54","SLMO_DROME","A0A482X3A3","PRELI-like family","Y"
"g16202",2096,"scaffold_54",NA,NA,NA,"N"
"g16203",954,"scaffold_54","EFTS_AEDAE","R4G2Z9","Elongation factor TS","Y"
"g16204",253,"scaffold_54",NA,NA,NA,"N"
"g16205",1358,"scaffold_54","TB22B_MACFA","J9JT79","Rab-GTPase-TBC domain","Y"
"g16206",2474,"scaffold_54","RHG17_RAT","J9K270","BAR domain,RhoGAP domain","Y"
"g16207",542,"scaffold_54","MNP1_YEAST","K7IZ81","Ribosomal protein L7/L12 dimerisation domain,Ribosomal protein L7/L12 C-terminal domain","Y"
"g16208",832,"scaffold_54",NA,NA,NA,"N"
"g16209",727,"scaffold_54",NA,NA,NA,"N"
"g1621",3527,"scaffold_346",NA,"J9K311","Nucleotidyltransferase domain","Y"
"g16210",689,"scaffold_54",NA,NA,NA,"N"
"g16211",665,"scaffold_54",NA,NA,NA,"N"
"g16212",569,"scaffold_54","ATAT_ANOGA","A0A482XF83","GNAT acetyltransferase, Mec-17","Y"
"g16213",3246,"scaffold_54","ERF3A_MOUSE","E2C1M8","Elongation factor Tu GTP binding domain,Elongation factor Tu C-terminal domain,Ataxin-2 C-terminal region,Glycosyltransferase family 25 (LPS biosynthesis protein),Glycosyl transferase family 2","Y"
"g16214",2376,"scaffold_54","TBC25_HUMAN","T1IEE6","Rab-GTPase-TBC domain","Y"
"g16215",1959,"scaffold_54","DCR1C_DANRE","J9K944","DNA repair metallo-beta-lactamase,Beta-lactamase superfamily domain","Y"
"g16216",6676,"scaffold_54","TRIO_DANRE","J9JLT4","RhoGEF domain,Spectrin repeat","Y"
"g16217",1266,"scaffold_54","WDR12_DROGR","A0A2J7PTS2","NLE (NUC135) domain,WD domain, G-beta repeat","Y"
"g16218",1355,"scaffold_54","FRL_DROME","J9KAH3","Diaphanous GTPase-binding Domain,Diaphanous FH3 Domain","Y"
"g16219",204,"scaffold_54",NA,NA,NA,"N"
"g1622",840,"scaffold_346","GSK3B_RAT","T1H8J1","Protein kinase domain","Y"
"g16220",737,"scaffold_54","MLX_HUMAN","A0A1S3DT28","Helix-loop-helix DNA-binding domain","Y"
"g16221",4261,"scaffold_54","TMM94_HUMAN","D6WX73",NA,"Y"
"g16222",1180,"scaffold_54","JIP1_DROME","J9K1A5","Variant SH3 domain,Phosphotyrosine interaction domain (PTB/PID)","Y"
"g16223",1728,"scaffold_54","NUCB1_BOVIN","J9JZ12","EF-hand domain pair","Y"
"g16224",1264,"scaffold_54","FAXC_DROME","A0A067R7M7","Glutathione S-transferase N-terminal domain,Glutathione S-transferase, C-terminal domain","Y"
"g16225",244,"scaffold_54",NA,NA,NA,"N"
"g16226",805,"scaffold_54","MRM2_DROME","A0A2P8YY69","FtsJ-like methyltransferase","Y"
"g16227",2752,"scaffold_54","SMUF1_DROME","A0A2J7Q3N9","HECT-domain (ubiquitin-transferase),C2 domain,WW domain","Y"
"g16228",926,"scaffold_54","RL1D1_MOUSE","A0A026WMS1","Ribosomal protein L1p/L10e family","Y"
"g16229",1079,"scaffold_54","KAPC1_DROME","K1PS11","Protein kinase domain","Y"
"g1623",1160,"scaffold_346","UBIQP_XENLA","A0A1V4K2F8","Ubiquitin family","Y"
"g16230",669,"scaffold_54","TBB_PSEAM","A0A2P8YDV6","Tubulin/FtsZ family, GTPase domain","Y"
"g16231",759,"scaffold_54",NA,NA,"Haemolymph juvenile hormone binding protein (JHBP)","Y"
"g16232",370,"scaffold_1068",NA,NA,NA,"N"
"g16233",1016,"scaffold_1068","RDX_DROME","K7J2C0","BTB/POZ domain","Y"
"g16234",17,"scaffold_1651",NA,NA,NA,"N"
"g16235",1328,"scaffold_535","MADD4_CAEEL","J9KB09","Thrombospondin type 1 domain","Y"
"g16236",347,"scaffold_535",NA,NA,"Thiol-activated cytolysin beta sandwich domain","Y"
"g16237",256,"scaffold_535",NA,NA,NA,"N"
"g16238",241,"scaffold_535",NA,NA,NA,"N"
"g16239",2361,"scaffold_535","MADD4_CAEEL","J9KB09","Thrombospondin type 1 domain,Immunoglobulin I-set domain,PLAC (protease and lacunin) domain","Y"
"g1624",821,"scaffold_346","GSK3B_RAT","T1H8J1","Protein kinase domain","Y"
"g16240",305,"scaffold_535",NA,NA,NA,"N"
"g16241",1371,"scaffold_535","C15C1_BOMMO","A0A067RJG9","Cytochrome P450","Y"
"g16242",1440,"scaffold_535","C15C1_BOMMO","A0A2J7PVT0","Cytochrome P450","Y"
